t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
157,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,1,0,0
160,0,1,1,0,0,1,1,0,0
161,0,1,1,0,0,1,1,0,0
162,0,1,1,0,0,1,2,0,0
163,0,2,2,0,0,2,2,0,0
164,0,2,2,0,0,2,2,0,0
165,0,2,2,0,0,2,2,0,1
166,0,2,2,0,0,2,2,0,1
167,0,2,2,0,0,2,2,0,1
168,0,2,2,0,0,2,2,0,2
169,1,2,2,1,1,2,2,1,2
170,1,2,2,1,1,2,2,1,2
171,1,2,2,1,1,2,2,1,2
172,2,2,2,2,2,2,3,2,2
173,2,3,3,2,2,3,3,2,2
174,2,3,3,2,2,3,3,2,2
175,2,3,3,2,2,3,0,2,2
176,2,0,0,2,2,0,0,2,2
177,2,0,0,2,2,0,0,2,2
178,2,0,0,2,2,0,0,2,3
179,2,0,0,2,2,0,0,2,3
180,2,0,0,2,2,0,0,2,3
181,2,0,0,2,2,0,0,2,0
182,3,0,0,3,3,0,0,3,0
183,3,0,0,3,3,0,0,3,0
184,3,0,0,3,3,0,0,3,0
185,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,1,0,0,0
187,0,0,0,0,0,1,0,0,0
188,0,0,0,0,0,1,0,0,0
189,0,0,0,0,0,2,0,0,0
190,0,0,0,0,0,2,0,0,0
191,0,0,0,0,0,2,0,0,0
192,0,0,0,0,0,2,0,0,0
193,0,0,0,0,0,2,0,0,0
194,0,0,0,0,0,2,0,0,0
195,0,0,0,1,0,2,0,0,0
196,0,0,0,1,0,2,0,0,1
197,0,0,0,1,0,2,0,0,1
198,0,0,0,2,0,2,0,0,1
199,0,0,0,2,0,3,0,0,2
200,0,0,0,2,1,3,0,0,2
201,0,0,1,2,1,3,0,0,2
202,0,0,1,2,1,0,0,0,2
203,0,0,1,2,2,0,0,0,2
204,0,0,2,2,2,0,0,0,2
205,1,0,2,2,2,0,1,1,2
206,1,1,2,2,2,0,1,1,2
207,1,1,2,2,2,0,1,1,2
208,2,1,2,3,2,0,2,2,2
209,2,2,2,3,2,0,2,2,2
210,2,2,2,3,2,0,2,2,2
211,2,2,2,0,2,0,2,2,2
212,2,2,2,0,2,1,2,2,2
213,2,2,2,0,3,1,2,2,2
214,2,2,3,0,3,1,2,2,3
215,2,2,3,0,3,2,2,2,3
216,2,2,3,0,0,2,2,2,3
217,2,2,0,0,0,2,2,2,0
218,3,2,0,0,0,2,3,3,0
219,3,3,0,0,0,2,3,3,0
220,3,3,0,0,0,2,3,3,0
221,0,3,0,0,0,2,0,0,0
222,0,0,0,0,0,2,0,0,0
223,0,0,0,0,0,2,0,0,0
224,0,0,0,0,0,2,0,0,0
225,0,0,0,0,0,3,0,0,0
226,0,0,0,0,0,3,0,0,0
227,0,0,1,0,0,3,0,0,1
228,0,0,1,0,0,0,0,0,1
229,0,0,1,0,0,0,0,0,1
