t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0
24,3,0,0,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0,0
26,3,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,1,0,0
28,0,0,0,0,0,0,1,0,0
29,0,0,0,0,0,0,2,0,0
30,0,0,0,0,0,0,2,0,0
31,0,0,0,0,0,0,2,0,0
32,0,0,0,0,0,0,2,0,0
33,0,0,0,0,0,0,2,0,0
34,0,0,0,0,0,0,2,0,0
35,0,0,0,0,0,0,2,0,0
36,0,0,0,0,0,0,2,0,0
37,1,0,0,0,0,0,2,0,0
38,1,0,0,0,0,0,2,0,0
39,1,0,0,0,0,0,3,0,0
40,2,0,0,0,0,0,3,0,0
41,2,0,0,0,0,0,3,0,0
42,2,0,0,0,0,0,0,0,0
43,2,0,0,0,0,0,0,0,0
44,2,0,0,0,0,0,0,0,0
45,2,0,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,1
47,2,0,0,0,0,0,0,0,1
48,2,0,0,0,0,0,0,0,1
49,2,0,0,0,0,0,0,0,2
50,2,0,0,0,0,0,0,0,2
51,2,0,0,0,0,0,0,0,2
52,2,0,0,0,0,0,0,0,2
53,2,0,0,0,0,0,0,0,2
54,2,0,0,0,0,0,0,0,2
55,2,0,0,0,0,0,0,0,2
56,2,0,0,0,0,0,0,0,2
