variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
local,4042,1,4043,1.00e-03,9.8,2152,11.79,30.11,6.49,30,-5263.3,-2.321,-5.333,1898,1270,622,1.128,2085,273.2,93.9,0,0.0,0,0,8,10,176.32,44.59,47.57,1.657,0.426,0,0.0,-0.012,0.0583,0.6789,0.0096,0.1162,,,-50612.08,-26414.97,-50612.08,,,,ippo,retraso
local,4042,2,4044,9.95e-04,10.1,2152,9.98,27.87,5.52,24,-4465.0,-1.966,-4.896,1892,1247,638,1.041,2087,268.1,92.0,0,0.0,0,0,7,10,172.13,39.53,41.88,1.498,0.503,0,0.0,-0.0159,0.0403,0.6302,0.0102,0.1518,,,-46311.79,-22401.17,-46311.79,,,,ippo,retraso
local,4042,3,4045,9.90e-04,10.3,2152,9.98,27.01,5.35,20,-4341.4,-1.914,-4.612,1915,1313,591,0.964,2086,265.6,91.3,0,0.0,0,0,6,10,166.75,34.36,36.34,1.242,0.64,0,0.0,-0.0076,0.0346,0.5989,0.0077,0.0919,,,-44158.05,-21847.49,-44158.05,,,,ippo,retraso
local,4042,4,4046,9.85e-04,10.4,2152,9.5,26.97,5.07,20,-4066.0,-1.795,-4.614,1881,1230,645,1.013,2092,266.7,91.6,0,0.0,0,0,6,10,168.13,35.81,37.6,1.345,0.585,0,0.0,-0.0053,0.0366,0.5894,0.0046,0.0622,,,-43392.05,-20419.21,-43392.05,,,,ippo,retraso
local,4042,5,4047,9.80e-04,10.0,2152,8.83,25.57,4.82,21,-3855.7,-1.705,-4.398,1875,1221,650,0.961,2092,263.3,90.5,0,0.0,0,0,7,10,165.36,33.18,34.87,1.256,0.614,0,0.0,-0.0071,0.0317,0.5811,0.0051,0.0638,,,-41227.53,-19347.36,-41227.53,,,,ippo,retraso
local,4042,6,4048,9.75e-04,10.5,2152,8.45,25.27,4.69,20,-3758.0,-1.655,-4.389,1860,1166,689,0.963,2090,263.4,90.4,0,0.0,0,0,6,9,166.06,33.9,35.51,1.306,0.606,0,0.0,-0.0035,0.0337,0.5481,0.0037,0.0518,,,-40820.4,-18852.48,-40820.4,,,,ippo,retraso
local,4042,7,4049,9.70e-04,11.0,2152,8.8,26.21,4.45,21,-3525.4,-1.552,-4.382,1853,1147,700,1.026,2092,265.7,91.2,0,0.0,0,0,5,9,166.04,34.0,35.92,1.351,0.563,0,0.0,-0.0046,0.0312,0.5455,0.0048,0.0679,,,-40602.95,-17773.11,-40602.95,,,,ippo,retraso
local,4042,8,4050,9.65e-04,10.1,2152,8.07,24.84,4.47,24,-3551.5,-1.57,-4.249,1861,1183,673,0.939,2091,262.6,90.1,0,0.0,0,0,5,9,164.65,32.86,34.66,1.239,0.644,0,0.0,-0.0031,0.0298,0.5108,0.005,0.0627,,,-39534.88,-17865.85,-39534.88,,,,ippo,retraso
local,4042,9,4051,9.60e-04,10.0,2152,9.14,26.19,4.78,24,-3773.8,-1.671,-4.465,1851,1161,684,1.032,2091,265.2,91.1,0,0.0,0,0,7,10,166.16,34.62,36.59,1.402,0.559,0,0.0,-0.0027,0.0325,0.4852,0.003,0.0387,,,-41321.77,-19016.99,-41321.77,,,,ippo,retraso
local,4042,10,4052,9.55e-04,9.6,2152,8.12,24.65,4.43,21,-3518.9,-1.556,-4.192,1865,1197,664,0.948,2094,261.9,89.9,0,0.0,0,0,5,9,163.03,31.34,32.69,1.208,0.66,0,0.0,-0.0038,0.0254,0.4732,0.0037,0.0444,24.48,8.21,-39086.94,-17670.15,-39086.94,24.48,24.92,24.7,ippo,retraso
local,4042,11,4053,9.50e-04,9.6,2152,8.65,25.52,4.6,23,-3681.2,-1.623,-4.27,1886,1235,645,0.94,2088,263.2,90.4,0,0.0,0,0,6,11,164.66,32.49,34.42,1.196,0.655,0,0.0,-0.0068,0.0252,0.4692,0.0063,0.1014,,,-40262.74,-18476.68,-40262.74,,,,ippo,retraso
local,4042,12,4054,9.45e-04,9.7,2152,8.39,25.29,4.73,22,-3774.7,-1.673,-4.38,1870,1215,649,0.987,2087,263.4,90.4,0,0.0,0,0,6,9,164.99,33.09,34.69,1.297,0.596,0,0.0,0.0006,0.0208,0.4645,0.0034,0.0507,,,-40951.59,-18843.68,-40951.59,,,,ippo,retraso
