t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
157,2,2,2,0,0,2,2,2,2
158,2,2,2,0,0,2,2,2,2
159,2,2,3,0,0,2,3,2,3
160,2,2,3,0,0,2,3,2,3
161,2,2,3,1,1,2,3,2,3
162,2,2,0,1,1,2,0,2,0
163,2,2,0,1,1,2,0,2,0
164,3,3,0,2,2,2,0,3,0
165,3,3,0,2,2,2,0,3,0
166,3,3,0,2,2,2,0,3,0
167,0,0,0,2,2,3,0,0,0
168,0,0,0,2,2,3,0,0,0
169,0,0,0,2,2,3,0,0,0
170,0,0,0,2,2,0,0,0,0
171,0,0,0,2,2,0,0,0,0
172,0,0,1,2,2,0,1,0,1
173,0,0,1,2,2,0,1,0,1
174,0,0,1,3,3,0,1,0,1
175,0,0,2,3,3,0,2,0,2
176,0,0,2,3,3,0,2,0,2
177,1,1,2,0,0,0,2,1,2
178,1,1,2,0,0,0,2,1,2
179,1,1,2,0,0,0,2,1,2
180,2,2,2,0,0,0,2,2,2
181,2,2,2,0,0,0,2,2,2
182,2,2,2,0,0,0,2,2,2
183,2,2,2,0,0,0,2,2,2
184,2,2,2,0,0,0,2,2,2
185,2,2,3,0,0,1,3,2,3
186,2,2,3,0,0,1,3,2,3
187,2,2,3,1,1,1,3,2,3
188,2,2,0,1,1,2,0,2,0
189,2,2,0,1,1,2,0,2,0
190,3,3,0,2,2,2,0,3,0
191,3,3,0,2,2,2,0,3,0
192,3,3,0,2,2,2,0,3,0
193,0,0,0,2,2,2,0,0,0
194,0,0,0,2,2,2,0,0,0
195,0,0,0,2,2,2,0,0,0
196,0,0,0,2,2,2,0,0,0
197,0,0,0,2,2,2,0,0,0
198,0,0,1,2,2,3,1,0,1
199,0,0,1,2,2,3,1,0,1
200,0,0,1,3,3,3,1,0,1
201,0,0,2,3,3,0,2,0,2
202,0,0,2,3,3,0,2,0,2
203,1,1,2,0,0,0,2,1,2
204,1,1,2,0,0,0,2,1,2
205,1,1,2,0,0,0,2,1,2
206,2,2,2,0,0,0,2,2,2
207,2,2,2,0,0,0,2,2,2
208,2,2,2,0,0,0,2,2,2
209,2,2,2,0,0,0,2,2,2
210,2,2,2,0,0,0,2,2,2
211,2,2,3,0,0,0,3,2,3
212,2,2,3,0,0,0,3,2,3
213,2,2,3,1,1,0,3,2,3
214,2,2,0,1,1,0,0,2,0
215,2,2,0,1,1,0,0,2,0
216,3,3,0,2,2,0,0,3,0
217,3,3,0,2,2,0,0,3,0
218,3,3,0,2,2,0,0,3,0
219,0,0,0,2,2,0,0,0,0
220,0,0,0,2,2,0,0,0,0
221,0,0,0,2,2,1,0,0,0
222,0,0,0,2,2,1,0,0,0
223,0,0,0,2,2,1,0,0,0
224,0,0,1,2,2,2,1,0,1
225,0,0,1,2,2,2,1,0,1
226,0,0,1,3,3,2,1,0,1
227,0,0,2,3,3,2,2,0,2
228,0,0,2,3,3,2,2,0,2
229,1,1,2,0,0,2,2,1,2
230,1,1,2,0,0,2,2,1,2
231,1,1,2,0,0,2,2,1,2
232,2,2,2,0,0,2,2,2,2
233,2,2,2,0,0,2,2,2,2
234,2,2,2,0,0,3,2,2,2
235,2,2,2,0,0,3,2,2,2
236,2,2,2,0,0,3,2,2,2
237,2,2,3,0,0,0,3,2,3
238,2,2,3,0,0,0,3,2,3
239,2,2,3,1,1,0,3,2,3
240,2,2,0,1,1,0,0,2,0
