t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,1,1,0,1,0,0,1,1
12,0,1,1,0,1,0,0,1,1
13,0,1,1,0,1,0,0,1,1
14,0,2,2,0,2,0,0,2,2
15,0,2,2,0,2,0,0,2,2
16,0,2,2,0,2,0,0,2,2
17,0,2,2,0,2,0,0,2,2
18,0,2,2,0,2,0,0,2,2
19,0,2,2,0,2,0,0,2,2
20,0,2,2,0,2,0,0,2,2
21,0,2,2,0,2,0,0,2,2
22,0,2,2,0,2,0,0,2,2
23,0,2,2,0,2,0,0,2,2
24,0,2,2,0,2,0,0,2,2
25,0,2,2,0,2,0,0,2,2
26,0,2,2,0,2,0,0,2,2
27,0,2,2,0,2,0,0,2,2
28,0,2,2,0,2,0,0,2,2
29,0,2,2,0,3,0,0,2,2
30,0,2,2,0,3,0,0,2,2
31,0,2,2,0,3,0,0,2,2
32,0,2,2,0,0,0,0,2,2
33,0,2,2,0,0,0,0,2,2
34,0,2,2,0,0,0,0,2,2
35,0,2,2,0,0,0,0,2,2
36,0,2,2,0,0,0,0,2,2
37,0,2,2,0,0,0,0,2,2
38,0,2,2,0,0,0,0,2,2
39,0,2,2,0,0,0,0,2,2
40,0,2,2,0,0,0,0,2,2
41,0,2,2,0,0,1,1,2,2
42,0,2,2,0,0,1,1,2,2
43,0,2,2,0,0,1,1,2,2
44,0,3,2,0,0,2,2,3,3
45,0,3,2,0,0,2,2,3,3
46,0,3,2,0,0,2,2,3,3
47,0,0,2,0,0,2,2,0,0
48,0,0,2,0,0,2,2,0,0
49,0,0,3,0,0,2,2,0,0
50,0,0,3,0,0,2,2,0,0
51,0,0,3,1,0,2,2,0,0
52,0,0,0,1,0,2,2,0,0
53,0,0,0,1,0,2,2,0,0
54,0,0,0,2,0,2,3,0,0
55,0,0,0,2,0,2,3,0,0
56,1,0,0,2,0,2,3,0,0
