t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
157,0,2,2,0,2,2,0,0,2
158,0,2,2,0,2,2,0,0,2
159,0,2,2,0,2,2,0,0,2
160,0,2,2,0,2,2,0,0,2
161,0,2,3,0,2,2,0,1,2
162,1,2,3,0,2,2,1,1,2
163,1,2,3,0,2,2,1,1,2
164,1,2,0,0,3,2,1,2,2
165,2,2,0,0,3,2,2,2,2
166,2,2,0,1,3,3,2,2,2
167,2,3,0,1,0,3,2,2,2
168,2,3,0,1,0,3,2,2,3
169,2,3,0,2,0,0,2,2,3
170,2,0,0,2,0,0,2,2,3
171,2,0,0,2,0,0,2,2,0
172,2,0,0,2,0,0,2,2,0
173,2,0,0,2,0,0,2,2,0
174,2,0,0,2,0,0,2,3,0
175,2,0,0,2,0,0,2,3,0
176,2,0,1,2,0,0,3,3,0
177,2,0,1,2,0,0,3,0,0
178,2,0,1,2,0,0,3,0,0
179,2,0,2,2,0,1,0,0,0
180,3,1,2,2,0,1,0,0,0
181,3,1,2,2,0,1,0,0,1
182,3,1,2,2,1,2,0,0,1
183,0,2,2,2,1,2,0,0,1
184,0,2,2,2,1,2,0,0,2
185,0,2,2,2,2,2,0,0,2
186,0,2,2,3,2,2,0,0,2
187,0,2,2,3,2,2,0,1,2
188,0,2,2,3,2,2,0,1,2
189,0,2,2,0,2,2,1,1,2
190,0,2,2,0,2,2,1,2,2
191,0,2,3,0,2,2,1,2,2
192,0,2,3,0,2,3,2,2,2
193,0,2,3,0,2,3,2,2,2
194,0,2,0,0,2,3,2,2,2
195,0,2,0,0,2,0,2,2,2
196,1,2,0,0,2,0,2,2,2
197,1,2,0,0,2,0,2,2,2
198,1,2,0,0,2,0,2,2,2
199,2,2,0,1,2,0,2,2,3
200,2,2,0,1,2,0,2,3,3
201,2,2,0,1,3,0,2,3,3
202,2,2,0,2,3,0,2,3,0
203,2,3,0,2,3,0,3,0,0
204,2,3,1,2,0,0,3,0,0
205,2,3,1,2,0,1,3,0,0
206,2,0,1,2,0,1,0,0,0
207,2,0,2,2,0,1,0,0,0
208,2,0,2,2,0,2,0,0,0
209,2,0,2,2,0,2,0,0,0
210,2,0,2,2,0,2,0,0,0
211,2,0,2,2,0,2,0,0,0
212,2,0,2,2,0,2,0,0,1
213,2,0,2,2,0,2,0,0,1
214,2,0,2,2,1,2,0,0,1
215,2,0,2,2,1,2,0,1,2
216,2,1,2,2,1,2,0,1,2
217,2,1,2,2,2,2,0,1,2
218,2,1,2,2,2,2,0,2,2
219,2,2,2,2,2,2,1,2,2
220,2,2,2,2,2,2,1,2,2
221,3,2,2,2,2,2,1,2,2
222,3,2,2,3,2,2,2,2,2
223,3,2,2,3,2,2,2,2,2
224,0,2,2,3,2,3,2,2,2
225,0,2,3,0,2,3,2,2,3
226,0,2,3,0,2,3,2,2,3
227,0,2,3,0,2,0,2,2,3
228,0,2,0,0,2,0,2,3,0
229,0,2,0,0,2,0,2,3,0
230,0,2,0,0,2,0,2,3,0
231,0,2,0,0,2,0,2,0,0
232,0,2,0,0,2,0,2,0,0
233,0,2,0,0,2,0,2,0,0
234,0,3,0,0,2,0,2,0,0
235,0,3,0,1,2,0,2,0,0
236,1,3,0,1,2,0,3,0,0
237,1,0,0,1,2,1,3,0,0
238,1,0,0,2,2,1,3,0,1
239,2,0,1,2,2,1,0,0,1
240,2,0,1,2,2,2,0,0,1
241,2,0,1,2,2,2,0,1,2
242,2,0,2,2,2,2,0,1,2
243,2,0,2,2,2,2,0,1,2
244,2,0,2,2,2,2,0,2,2
245,2,0,2,2,2,2,0,2,2
246,2,0,2,2,3,2,0,2,2
247,2,1,2,2,3,2,0,2,2
248,2,1,2,3,3,2,0,2,2
249,2,1,2,3,0,2,1,2,2
250,2,2,2,3,0,2,1,2,2
251,2,2,2,0,0,2,1,2,3
252,2,2,2,0,0,2,2,2,3
253,2,2,2,0,0,2,2,2,3
254,2,2,2,0,0,2,2,3,0
255,2,2,3,0,0,3,2,3,0
256,2,2,3,0,0,3,2,3,0
257,2,2,3,0,0,3,2,0,0
258,3,2,0,0,0,0,2,0,0
259,3,2,0,0,0,0,2,0,0
260,3,3,0,0,1,0,2,0,0
261,0,3,0,1,1,0,2,0,0
262,0,3,0,1,1,0,2,0,0
263,0,0,0,1,2,0,2,0,0
264,0,0,0,2,2,0,3,0,1
265,0,0,0,2,2,0,3,0,1
266,0,0,0,2,2,0,3,0,1
267,0,0,0,2,2,0,0,1,2
268,0,0,1,2,2,1,0,1,2
269,0,0,1,2,2,1,0,1,2
270,0,0,1,2,2,1,0,2,2
271,1,0,2,2,2,2,0,2,2
272,1,0,2,2,2,2,0,2,2
273,1,0,2,2,2,2,0,2,2
274,2,0,2,3,2,2,0,2,2
275,2,0,2,3,3,2,0,2,2
276,2,0,2,3,3,2,0,2,2
277,2,0,2,0,3,2,0,2,3
278,2,0,2,0,0,2,0,2,3
279,2,0,2,0,0,2,0,2,3
280,2,0,2,0,0,2,0,2,0
281,2,0,2,0,0,2,0,2,0
282,2,0,2,0,0,2,1,3,0
283,2,1,3,0,0,2,1,3,0
284,2,1,3,0,0,2,1,3,0
285,2,1,3,0,0,3,2,0,0
286,2,2,0,0,0,3,2,0,0
287,2,2,0,0,0,3,2,0,0
288,3,2,0,1,0,0,2,0,0
289,3,2,0,1,0,0,2,0,0
290,3,2,0,1,0,0,2,0,1
291,0,2,0,2,1,0,2,0,1
292,0,2,0,2,1,0,2,0,1
293,0,2,0,2,1,0,2,0,2
294,0,2,0,2,2,0,2,0,2
295,0,2,0,2,2,0,2,0,2
296,0,2,1,2,2,0,2,1,2
297,0,2,1,2,2,0,2,1,2
298,0,2,1,2,2,0,2,1,2
299,0,2,2,2,2,0,2,2,2
300,0,2,2,2,2,1,2,2,2
301,0,2,2,3,2,1,2,2,2
302,0,2,2,3,2,1,2,2,2
303,0,2,2,3,2,2,3,2,2
304,1,2,2,0,2,2,3,2,2
305,1,2,2,0,2,2,3,2,3
306,1,2,2,0,2,2,0,2,3
307,2,2,2,0,3,2,0,2,3
308,2,2,2,0,3,2,0,2,0
309,2,2,3,0,3,2,0,2,0
310,2,3,3,0,0,2,0,2,0
311,2,3,3,0,0,2,0,2,0
312,2,3,0,0,0,2,0,2,0
313,2,0,0,0,0,3,0,2,0
314,2,0,0,1,0,3,0,2,0
315,2,0,0,1,0,3,0,2,0
316,2,0,0,1,0,0,1,2,0
317,2,0,0,2,0,0,1,2,0
318,3,0,0,2,0,0,1,2,1
319,3,0,0,2,0,0,2,2,1
320,3,0,0,2,1,0,2,2,1
321,0,0,0,2,1,0,2,2,2
322,0,0,1,2,1,0,2,2,2
323,0,0,1,2,2,0,2,3,2
324,0,0,1,2,2,0,2,3,2
325,0,0,2,2,2,0,2,3,2
326,0,1,2,2,2,1,2,0,2
327,0,1,2,2,2,1,2,0,2
328,0,1,2,2,2,1,2,0,2
329,0,2,2,2,2,2,2,0,2
330,0,2,2,2,2,2,2,0,2
331,0,2,2,3,2,2,2,0,3
332,1,2,2,3,2,2,2,0,3
333,1,2,2,3,3,2,3,0,3
334,1,2,2,0,3,2,3,0,0
335,2,2,2,0,3,2,3,0,0
336,2,2,2,0,0,2,0,0,0
337,2,2,2,0,0,2,0,0,0
338,2,2,2,0,0,2,0,0,0
339,2,2,3,0,0,3,0,0,0
340,2,3,3,0,0,3,0,0,0
341,2,3,3,0,0,3,0,0,0
342,2,3,0,0,0,0,0,1,0
343,2,0,0,0,0,0,0,1,0
344,2,0,0,1,0,0,0,1,1
345,2,0,0,1,0,0,0,2,1
346,2,0,0,1,1,0,1,2,1
347,2,0,0,2,1,0,1,2,2
348,2,0,0,2,1,0,1,2,2
349,3,0,0,2,2,0,2,2,2
350,3,0,0,2,2,0,2,2,2
351,3,0,0,2,2,0,2,2,2
352,0,0,1,2,2,0,2,2,2
353,0,1,1,2,2,0,2,2,2
354,0,1,1,2,2,0,2,2,2
355,0,1,2,2,2,0,2,2,2
356,0,2,2,2,2,0,2,2,2
357,0,2,2,2,2,0,2,2,3
358,0,2,2,2,2,0,2,2,3
359,0,2,2,2,2,0,2,3,3
360,0,2,2,3,2,1,2,3,0
361,0,2,2,3,3,1,3,3,0
362,1,2,2,3,3,1,3,0,0
363,1,2,2,0,3,2,3,0,0
364,1,2,2,0,0,2,0,0,0
365,2,2,3,0,0,2,0,0,0
366,2,3,3,0,0,2,0,0,0
367,2,3,3,0,0,2,0,0,0
368,2,3,0,0,0,2,0,0,0
369,2,0,0,0,0,2,0,0,0
370,2,0,0,0,0,2,0,0,1
371,2,0,0,0,0,2,0,0,1
372,2,0,0,0,0,2,0,1,1
373,2,0,0,1,0,2,0,1,2
374,2,0,0,1,1,2,0,1,2
375,2,0,0,1,1,2,0,2,2
376,2,0,0,2,1,2,0,2,2
377,2,0,0,2,2,2,0,2,2
378,3,0,0,2,2,2,0,2,2
379,3,1,0,2,2,2,1,2,2
380,3,1,0,2,2,2,1,2,2
381,0,1,0,2,2,2,1,2,2
382,0,2,0,2,2,3,2,2,2
383,0,2,1,2,2,3,2,2,2
384,0,2,1,2,2,3,2,2,3
385,0,2,1,2,2,0,2,3,3
386,0,2,2,2,2,0,2,3,3
387,0,2,2,2,3,0,2,3,0
388,0,2,2,2,3,0,2,0,0
389,0,2,2,2,3,0,2,0,0
390,0,2,2,3,0,0,2,0,0
391,1,2,2,3,0,0,2,0,0
392,1,2,2,3,0,0,3,0,0
393,1,2,2,0,0,0,3,0,0
394,2,2,2,0,0,0,3,0,0
395,2,2,2,0,0,0,0,0,0
396,2,2,3,0,0,1,0,0,0
397,2,2,3,0,0,1,0,0,0
398,2,2,3,0,0,1,0,1,1
399,2,2,0,0,0,2,0,1,1
400,2,2,0,0,1,2,0,1,1
401,2,3,0,0,1,2,0,2,2
402,2,3,0,0,1,2,0,2,2
403,2,3,0,1,2,2,0,2,2
404,2,0,0,1,2,2,0,2,2
405,2,0,0,1,2,2,1,2,2
406,2,0,0,2,2,2,1,2,2
407,2,0,0,2,2,2,1,2,2
408,2,0,0,2,2,2,2,2,2
409,2,0,1,2,2,2,2,2,2
410,2,0,1,2,2,2,2,2,2
411,3,0,1,2,2,3,2,2,2
412,3,0,2,2,2,3,2,2,2
413,3,0,2,2,2,3,2,3,3
414,0,0,2,2,2,0,2,3,3
415,0,0,2,2,2,0,2,3,3
416,0,0,2,2,3,0,2,0,0
417,0,0,2,2,3,0,2,0,0
418,0,0,2,2,3,0,2,0,0
419,0,1,2,2,0,0,2,0,0
420,0,1,2,3,0,0,3,0,0
421,0,1,2,3,0,0,3,0,0
422,0,2,2,3,0,0,3,0,0
423,0,2,2,0,0,0,0,0,0
424,1,2,2,0,0,0,0,0,0
425,1,2,2,0,0,0,0,0,0
426,1,2,3,0,0,1,0,1,1
427,2,2,3,0,0,1,0,1,1
428,2,2,3,0,0,1,0,1,1
429,2,2,0,0,1,2,0,2,2
430,2,2,0,0,1,2,0,2,2
431,2,2,0,0,1,2,0,2,2
432,2,3,0,0,2,2,0,2,2
433,2,3,0,1,2,2,0,2,2
434,2,3,0,1,2,2,0,2,2
435,2,0,0,1,2,2,0,2,2
436,2,0,0,2,2,2,0,2,2
437,3,0,0,2,2,2,0,2,2
438,3,0,0,2,2,2,1,2,2
439,3,0,0,2,2,2,1,2,2
440,0,0,0,2,2,3,1,2,2
