t,RE_C1,C2_C1,N1_C1,S1_C1,C1_C2,C3_C2,N2_C2,S2_C2,C2_C3,E_C3,N3_C3,S3_C3
60,0,0,1,1,1,0,0,0,0,0,0,0
120,2,0,0,0,0,0,1,0,0,0,0,0
180,0,0,1,1,1,0,0,0,0,0,1,1
240,2,0,0,0,0,0,0,0,1,0,0,0
300,0,0,1,1,2,2,0,0,0,0,1,1
360,1,0,0,0,0,0,0,0,0,1,0,0
420,0,0,1,1,0,0,0,0,0,0,1,1
480,2,0,0,0,0,0,0,0,2,1,0,0
540,0,0,1,1,2,0,0,0,0,0,1,1
600,1,0,0,0,0,0,0,0,1,1,0,0
660,0,0,1,1,1,1,0,0,0,0,1,1
720,3,0,0,0,0,0,0,0,0,1,0,0
780,0,0,1,1,0,0,0,0,0,0,1,1
840,4,1,0,0,0,0,0,0,0,0,0,0
900,0,0,1,1,0,1,0,0,0,0,1,1
960,2,0,0,0,0,0,0,0,2,1,0,0
1020,0,0,1,1,2,0,0,0,0,0,1,1
1080,3,0,0,0,0,0,1,0,0,1,0,0
1140,0,0,1,1,0,0,0,0,0,0,1,1
1200,4,1,0,0,0,0,0,0,0,0,0,0
1260,0,0,1,1,1,1,0,0,0,0,1,1
1320,1,0,0,0,0,0,0,0,2,1,0,0
1380,0,0,1,1,2,0,0,0,0,0,1,1
1440,3,0,0,0,0,0,0,0,1,1,0,0
1500,0,0,1,1,1,0,0,0,0,0,1,1
1560,1,0,0,0,0,0,0,0,0,0,0,0
1620,0,0,1,1,0,0,0,0,0,0,1,1
1680,1,0,0,0,0,0,0,0,0,1,0,0
1740,0,0,1,1,2,0,0,0,0,0,1,1
1800,3,0,0,0,0,0,0,0,3,1,0,0
1860,0,0,1,1,0,0,0,0,0,0,1,1
1920,0,0,0,0,0,0,0,1,2,1,0,0
1980,0,0,1,1,0,0,0,0,0,0,1,1
2040,1,0,0,0,0,0,0,0,0,2,0,0
2100,0,0,1,1,0,0,0,0,0,0,1,1
2160,1,1,0,0,0,0,0,0,0,3,0,0
2220,0,0,1,1,0,0,0,0,0,0,1,1
2280,1,3,0,0,0,0,0,0,1,0,0,0
2340,0,0,1,1,0,1,0,0,0,0,1,1
2400,1,0,0,0,0,0,0,0,0,4,0,0
2460,0,0,1,1,1,2,0,0,0,0,1,1
2520,1,0,0,0,0,0,1,0,0,2,0,0
2580,0,0,1,1,0,0,0,0,0,0,1,1
2640,0,3,0,0,0,0,0,0,0,1,0,0
2700,0,0,1,1,0,1,0,0,0,0,1,1
2760,0,1,0,0,0,0,0,0,0,2,0,0
2820,0,0,1,1,0,0,0,0,0,1,1,1
2880,1,1,0,0,0,0,0,0,0,3,0,0
2940,0,0,1,1,0,0,0,0,0,0,1,1
3000,0,0,0,0,0,0,1,0,0,2,0,0
3060,0,0,1,1,0,2,0,0,0,0,1,1
3120,1,0,0,0,0,0,0,1,0,3,0,0
3180,0,0,1,1,1,2,0,0,0,1,1,1
3240,1,1,0,0,0,0,0,0,0,2,0,0
3300,0,0,1,1,0,1,0,0,0,0,1,1
3360,0,0,0,0,0,0,0,0,0,1,0,0
3420,0,0,1,1,0,1,0,0,0,0,1,1
3480,1,2,0,0,0,0,0,0,0,3,0,0
3540,0,0,1,1,1,2,0,0,0,1,1,1
3600,1,0,0,0,0,0,0,0,0,2,0,0
3660,0,0,0,0,0,2,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0,0,0,0,0
