t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,1,0,1,1,0,1,1,0,0
22,1,0,1,1,0,1,1,0,0
23,1,0,1,1,0,1,1,0,0
24,2,0,2,2,0,2,2,0,0
25,2,0,2,2,0,2,2,0,0
26,2,0,2,2,0,2,2,0,0
27,2,0,2,2,0,2,2,0,0
28,2,0,2,2,0,2,2,0,0
29,2,0,2,2,0,2,2,0,0
30,2,0,2,2,0,2,2,0,0
31,2,1,2,2,0,2,2,0,0
32,2,1,2,2,0,2,2,0,0
33,2,1,2,2,0,2,2,0,0
34,3,2,3,3,0,3,3,0,0
35,3,2,3,3,0,3,3,0,0
36,3,2,3,3,1,3,3,1,1
37,0,2,0,0,1,0,0,1,1
38,0,2,0,0,1,0,0,1,1
39,0,2,0,0,2,0,0,2,2
40,0,2,0,0,2,0,0,2,2
41,0,2,0,0,2,0,0,2,2
42,0,2,0,0,2,0,0,2,2
43,0,2,0,0,2,0,0,2,2
44,0,3,0,0,2,0,0,2,2
45,0,3,0,0,2,0,0,2,2
46,0,3,0,0,2,0,0,2,2
47,0,0,0,0,2,0,1,2,2
48,0,0,0,0,2,0,1,2,2
49,0,0,0,0,3,0,1,3,3
50,0,0,0,0,3,0,2,3,3
51,0,0,0,0,3,0,2,3,3
52,1,0,0,1,0,0,2,0,0
53,1,0,0,1,0,0,2,0,0
54,1,0,0,1,0,0,2,0,0
55,2,0,0,2,0,0,2,0,0
56,2,0,0,2,0,0,2,0,0
