variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
local,2042,17,2059,9.20e-04,14.1,3620,70.43,131.94,47.99,134,-59076.5,-27.554,-51.715,1969,1622,296,3.951,2886,400.2,141.3,0,0.0,0,0,32,37,261.34,178.44,194.44,5.522,0.224,0,0.0,-0.0053,1.196,0.2861,0.0048,0.0549,,,-509135.14,-297221.27,-514949.14,,,,ippo,retraso
local,2042,18,2060,9.15e-04,14.2,3620,72.05,133.95,48.67,133,-61080.2,-28.252,-52.433,1984,1626,299,3.926,2872,403.0,142.3,0,0.0,0,0,32,37,269.31,186.37,209.05,5.545,0.231,0,0.0,-0.0035,1.1875,0.2809,0.0036,0.0462,,,-520130.47,-306858.09,-528052.47,,,,ippo,retraso
local,2042,19,2061,9.10e-04,14.4,3620,69.16,130.73,46.45,119,-57509.8,-26.453,-50.388,1990,1630,310,4.123,2868,399.1,140.9,0,0.0,0,0,33,37,269.42,186.41,206.32,6.034,0.233,0,0.0,-0.005,1.2843,0.2611,0.0043,0.049,,,-501356.13,-289070.05,-507930.13,,,,ippo,retraso
local,2042,20,2062,9.05e-04,13.7,3620,66.51,127.63,45.49,122,-55659.5,-26.058,-50.126,1959,1614,299,3.889,2910,394.7,139.1,0,0.0,0,0,32,38,271.57,188.86,208.86,5.842,0.183,0,0.0,-0.0022,0.8847,0.2528,0.0044,0.0527,126.68,71.06,-490983.45,-280055.64,-496817.45,126.68,125.61,126.145,ippo,retraso
local,2042,21,2063,9.00e-04,14.2,3620,67.88,125.67,45.74,126,-56831.5,-26.214,-48.711,1991,1641,301,3.833,2888,391.5,138.2,0,0.0,0,0,33,37,270.31,187.55,212.69,5.798,0.231,0,0.0,-0.0041,1.0684,0.2366,0.0045,0.049,,,-484918.37,-285969.19,-493644.37,,,,ippo,retraso
local,2042,22,2064,8.95e-04,14.3,3620,71.45,130.19,47.96,147,-60587.1,-27.843,-50.623,2002,1654,292,3.671,2882,399.3,141.1,0,0.0,0,0,32,38,268.27,185.56,206.5,5.261,0.2,0,0.0,-0.0,0.8698,0.2224,0.0032,0.0388,,,-506737.86,-304692.89,-516901.86,,,,ippo,retraso
local,2042,23,2065,8.90e-04,14.0,3620,66.95,124.8,44.98,119,-56076.9,-25.794,-48.069,2001,1659,293,3.79,2879,390.2,137.7,0,0.0,0,0,33,38,269.73,186.77,208.13,5.744,0.209,0,0.0,-0.0003,0.9697,0.2019,0.0037,0.042,,,-480927.93,-282161.21,-488413.93,,,,ippo,retraso
local,2042,24,2066,8.85e-04,14.4,3620,76.75,135.31,50.91,141,-65621.4,-29.828,-52.432,2027,1677,293,3.88,2852,406.2,144.1,0,0.0,0,0,33,38,272.29,189.48,210.98,5.473,0.23,0,0.0,-0.0004,1.0382,0.1901,0.0029,0.0332,,,-531397.4,-329772.56,-543041.4,,,,ippo,retraso
local,2042,25,2067,8.80e-04,13.7,3620,68.8,124.69,46.92,119,-58076.9,-27.113,-49.033,1973,1632,287,3.728,2905,391.0,138.2,0,0.0,0,0,33,37,263.02,180.03,195.43,5.489,0.236,0,0.0,-0.0009,0.9205,0.1814,0.0034,0.0413,,,-483713.92,-292238.83,-490697.92,,,,ippo,retraso
local,2042,26,2068,8.75e-04,13.7,3620,66.09,122.57,45.13,114,-55383.1,-25.88,-47.857,1973,1631,283,3.669,2907,386.9,136.5,0,0.0,0,0,31,38,257.25,174.35,190.84,5.312,0.271,0,0.0,-0.0009,0.7381,0.1925,0.0032,0.0378,,,-472113.34,-278809.41,-478011.34,,,,ippo,retraso
