t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,1,1,1,1,1,0,1,0,1
22,1,1,1,1,1,0,1,0,1
23,1,1,1,1,1,0,1,0,1
24,2,2,2,2,2,0,2,0,2
25,2,2,2,2,2,0,2,0,2
26,2,2,2,2,2,0,2,1,2
27,2,2,2,2,2,0,2,1,2
28,2,2,2,2,2,0,2,1,2
29,2,2,2,2,2,0,2,2,2
30,2,2,2,2,2,0,2,2,2
31,2,2,2,2,2,1,2,2,2
32,2,2,2,2,2,1,2,2,2
33,2,2,2,2,2,1,2,2,2
34,3,3,3,3,3,2,3,2,3
35,3,3,3,3,3,2,3,2,3
36,3,3,3,3,3,2,3,2,3
37,0,0,0,0,0,2,0,2,0
38,0,0,0,0,0,2,0,2,0
39,0,0,0,0,0,2,0,3,0
40,0,0,0,0,0,2,0,3,0
41,0,0,0,0,0,2,0,3,0
42,0,0,0,0,0,2,0,0,0
43,0,0,0,0,0,2,0,0,0
44,0,0,0,0,0,3,0,0,0
45,0,0,0,0,0,3,0,0,0
46,0,0,0,0,0,3,0,0,0
47,0,0,0,0,0,0,1,0,0
48,0,0,0,0,0,0,1,0,0
49,0,0,0,0,0,0,1,0,0
50,0,0,0,0,0,0,2,0,0
51,0,0,0,0,0,0,2,0,0
52,1,1,1,0,1,0,2,0,0
53,1,1,1,0,1,0,2,0,0
54,1,1,1,0,1,0,2,0,0
55,2,2,2,0,2,0,2,0,0
56,2,2,2,0,2,0,2,0,0
