t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
157,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0
159,0,0,0,1,0,1,0,0,0
160,0,0,0,1,0,1,0,0,0
161,0,0,0,1,0,1,0,0,0
162,0,0,0,2,0,2,0,0,0
163,0,0,0,2,0,2,0,0,0
164,0,0,0,2,0,2,0,0,1
165,0,1,1,2,0,2,1,1,1
166,0,1,1,2,0,2,1,1,1
167,0,1,1,2,0,2,1,1,2
168,0,2,2,2,0,2,2,2,2
169,0,2,2,2,0,2,2,2,2
170,0,2,2,2,0,2,2,2,2
171,0,2,2,2,0,2,2,2,2
172,0,2,2,3,0,3,2,2,2
173,0,2,2,3,0,3,2,2,2
174,0,2,2,3,0,3,2,2,2
175,0,2,2,0,0,0,2,2,2
176,0,2,2,0,0,0,2,2,2
177,0,2,2,0,0,0,2,2,3
178,0,3,3,0,0,0,3,3,3
179,1,3,3,0,0,0,3,3,3
180,1,3,3,0,0,0,3,3,0
181,1,0,0,0,0,0,0,0,0
182,2,0,0,0,0,0,0,0,0
183,2,0,0,0,0,0,0,0,0
184,2,0,0,0,0,0,0,0,0
185,2,0,0,0,1,0,0,0,0
186,2,0,0,0,1,0,0,0,0
187,2,0,0,0,1,0,0,0,0
188,2,0,0,0,2,0,0,0,0
189,2,0,0,0,2,0,0,0,0
190,2,0,0,1,2,0,0,0,1
191,2,0,1,1,2,0,1,1,1
192,3,0,1,1,2,0,1,1,1
193,3,0,1,2,2,0,1,1,2
194,3,0,2,2,2,0,2,2,2
195,0,0,2,2,2,0,2,2,2
196,0,0,2,2,2,0,2,2,2
197,0,0,2,2,2,0,2,2,2
198,0,0,2,2,3,0,2,2,2
199,0,0,2,2,3,0,2,2,2
200,0,0,2,2,3,0,2,2,2
201,0,1,2,2,0,0,2,2,2
202,0,1,2,2,0,0,2,2,2
203,0,1,2,3,0,0,2,2,3
204,0,2,3,3,0,0,3,3,3
205,0,2,3,3,0,0,3,3,3
206,0,2,3,0,0,0,3,3,0
207,0,2,0,0,0,0,0,0,0
208,0,2,0,0,0,0,0,0,0
209,0,2,0,0,0,0,0,0,0
210,1,2,0,0,0,1,0,0,0
211,1,2,0,0,1,1,0,0,0
212,1,2,0,0,1,1,0,0,0
213,2,2,0,0,1,2,0,0,0
214,2,2,0,0,2,2,0,0,0
215,2,2,0,0,2,2,0,0,0
216,2,2,0,1,2,2,0,0,0
217,2,2,0,1,2,2,1,1,0
218,2,2,0,1,2,2,1,1,0
219,2,3,0,2,2,2,1,1,0
220,2,3,0,2,2,2,2,2,0
221,2,3,0,2,2,2,2,2,0
222,2,0,1,2,2,2,2,2,0
223,3,0,1,2,2,3,2,2,0
224,3,0,1,2,3,3,2,2,0
225,3,0,2,2,3,3,2,2,0
226,0,0,2,2,3,0,2,2,0
227,0,0,2,2,0,0,2,2,0
228,0,0,2,2,0,0,2,2,0
229,0,0,2,3,0,0,2,2,0
