t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
157,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0
167,1,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1,1,1
170,2,2,2,2,2,2,2,2,2
171,2,2,2,2,2,2,2,2,2
172,2,2,2,2,2,2,2,2,2
173,2,2,2,2,2,2,2,2,2
174,2,2,2,2,2,2,2,2,2
175,2,2,2,2,2,2,2,2,2
176,2,2,2,2,2,2,2,2,2
177,2,2,2,2,2,2,2,2,2
178,2,2,2,2,2,2,2,2,2
179,2,2,2,2,2,2,2,2,2
180,3,3,3,3,3,3,3,3,3
181,3,3,3,3,3,3,3,3,3
182,3,3,3,3,3,3,3,3,3
183,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0
193,1,1,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1,1,1
196,2,2,2,2,2,2,2,2,2
197,2,2,2,2,2,2,2,2,2
198,2,2,2,2,2,2,2,2,2
199,2,2,2,2,2,2,2,2,2
200,2,2,2,2,2,2,2,2,2
201,2,2,2,2,2,2,2,2,2
202,2,2,2,2,2,2,2,2,2
203,2,2,2,2,2,2,2,2,2
204,2,2,2,2,2,2,2,2,2
205,2,2,2,2,2,2,2,2,2
206,3,3,3,3,3,3,3,3,3
207,3,3,3,3,3,3,3,3,3
208,3,3,3,3,3,3,3,3,3
209,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0
219,1,1,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1,1,1
222,2,2,2,2,2,2,2,2,2
223,2,2,2,2,2,2,2,2,2
224,2,2,2,2,2,2,2,2,2
225,2,2,2,2,2,2,2,2,2
226,2,2,2,2,2,2,2,2,2
227,2,2,2,2,2,2,2,2,2
228,2,2,2,2,2,2,2,2,2
229,2,2,2,2,2,2,2,2,2
