variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
local,4042,141,4183,3.00e-04,28.0,4350,8.6,26.81,10.86,30,-8075.6,-1.196,-3.756,5296,2842,2437,1.364,4203,303.8,104.9,0,0.0,0,0,3,7,130.18,24.79,25.66,1.164,0.669,0,0.0,-0.0005,0.014,0.1299,0.0013,0.0166,,,-99451.57,-42520.82,-99451.57,,,,ippo,retraso
local,4042,142,4184,2.95e-04,27.1,4350,8.64,26.87,10.84,31,-8161.3,-1.201,-3.767,5330,2855,2460,1.375,4206,303.9,104.9,0,0.0,0,0,4,8,131.76,26.07,26.88,1.266,0.64,0,0.0,-0.0007,0.0149,0.1345,0.0017,0.0206,,,-100392.52,-42755.02,-100392.52,,,,ippo,retraso
local,4042,143,4185,2.90e-04,26.3,4350,9.03,27.34,11.3,38,-8539.2,-1.258,-3.819,5321,2846,2457,1.422,4202,304.8,105.3,0,0.0,0,0,4,7,130.34,25.32,26.45,1.226,0.641,0,0.0,-0.0007,0.0177,0.1254,0.0009,0.0124,,,-101598.46,-44488.46,-101598.46,,,,ippo,retraso
local,4042,144,4186,2.85e-04,26.3,4350,9.01,27.42,11.38,33,-8516.7,-1.263,-3.877,5285,2825,2446,1.412,4194,305.3,105.4,0,0.0,0,0,4,7,130.67,25.1,25.59,1.195,0.653,0,0.0,-0.0007,0.0163,0.1238,0.0014,0.0164,,,-102450.22,-44556.8,-102450.22,,,,ippo,retraso
local,4042,145,4187,2.80e-04,26.2,4350,8.96,26.97,11.18,34,-8445.8,-1.241,-3.759,5340,2869,2455,1.372,4200,303.9,105.0,0,0.0,0,0,4,7,129.5,24.07,24.08,1.096,0.698,0,0.0,-0.001,0.0156,0.1229,0.0011,0.0147,,,-100359.57,-44177.31,-100359.57,,,,ippo,retraso
local,4042,146,4188,2.75e-04,25.8,4350,9.08,27.45,11.4,35,-8564.8,-1.269,-3.839,5307,2866,2425,1.427,4199,304.9,105.3,0,0.0,0,0,4,8,130.48,25.16,25.97,1.185,0.645,0,0.0,-0.0009,0.0155,0.1373,0.0018,0.0175,,,-101857.63,-44689.46,-101857.63,,,,ippo,retraso
local,4042,147,4189,2.70e-04,26.1,4350,8.88,27.29,11.14,32,-8408.3,-1.239,-3.803,5343,2904,2424,1.407,4205,304.9,105.3,0,0.0,0,0,4,7,131.46,25.89,27.04,1.242,0.62,0,0.0,-0.0001,0.0159,0.1364,0.0013,0.0142,,,-101598.69,-43893.79,-101598.69,,,,ippo,retraso
local,4042,148,4190,2.65e-04,26.1,4350,8.93,27.12,11.2,33,-8404.7,-1.24,-3.807,5336,2905,2414,1.378,4194,304.4,105.1,0,0.0,0,0,5,7,131.73,26.13,26.52,1.275,0.598,0,0.0,-0.0013,0.0154,0.1396,0.0019,0.0213,,,-101581.65,-44060.19,-101581.65,,,,ippo,retraso
local,4042,149,4191,2.60e-04,25.6,4350,8.88,27.12,11.17,32,-8376.1,-1.239,-3.796,5320,2899,2406,1.386,4200,304.3,105.1,0,0.0,0,0,4,8,130.58,25.45,26.44,1.186,0.649,0,0.0,-0.0003,0.0142,0.1342,0.0014,0.0179,,,-100964.84,-43849.97,-100964.84,,,,ippo,retraso
local,4042,150,4192,2.55e-04,25.9,4350,8.72,26.89,10.89,32,-8210.2,-1.203,-3.73,5371,2928,2427,1.374,4196,303.8,104.9,0,0.0,0,0,4,8,131.39,25.81,26.76,1.28,0.611,0,0.0,-0.0009,0.0143,0.1364,0.0014,0.0183,26.68,8.54,-100175.55,-43109.11,-100175.55,26.68,26.78,26.73,ippo,retraso
local,4042,151,4193,2.50e-04,25.8,4350,8.81,27.11,11.12,32,-8352.7,-1.237,-3.796,5320,2906,2399,1.371,4198,304.4,105.1,0,0.0,0,0,4,7,130.1,24.56,25.0,1.161,0.649,0,0.0,0.0013,0.0154,0.1301,0.0011,0.0135,,,-100971.27,-43585.39,-100971.27,,,,ippo,retraso
local,4042,152,4194,2.45e-04,26.1,4350,8.88,27.0,11.25,31,-8401.3,-1.25,-3.823,5283,2861,2408,1.384,4199,303.8,105.0,0,0.0,0,0,4,7,130.6,25.07,25.78,1.214,0.647,0,0.0,-0.0006,0.0155,0.126,0.001,0.0134,,,-100996.44,-43908.19,-100996.44,,,,ippo,retraso
local,4042,153,4195,2.40e-04,25.8,4350,9.24,27.6,11.58,33,-8697.0,-1.288,-3.899,5303,2866,2421,1.425,4197,305.2,105.4,0,0.0,0,0,4,7,131.54,25.78,26.92,1.244,0.627,0,0.0,0.0002,0.0166,0.1243,0.001,0.0127,,,-103371.68,-45375.66,-103371.68,,,,ippo,retraso
local,4042,154,4196,2.35e-04,25.8,4350,8.58,26.72,10.89,32,-8088.1,-1.203,-3.755,5293,2879,2400,1.354,4198,303.6,104.8,0,0.0,0,0,4,8,129.15,24.0,24.84,1.125,0.669,0,0.0,-0.0005,0.0141,0.1248,0.0013,0.0157,,,-99367.97,-42505.51,-99367.97,,,,ippo,retraso
local,4042,155,4197,2.30e-04,25.9,4350,8.6,26.66,10.83,36,-8155.4,-1.207,-3.732,5326,2899,2411,1.356,4201,303.2,104.7,0,0.0,0,0,4,7,130.72,24.9,25.75,1.186,0.66,0,0.0,-0.0005,0.0145,0.1322,0.0016,0.0191,,,-99393.99,-42555.98,-99393.99,,,,ippo,retraso
local,4042,156,4198,2.25e-04,26.1,4350,8.53,26.64,10.74,32,-8088.2,-1.192,-3.715,5339,2894,2428,1.346,4200,303.4,104.8,0,0.0,0,0,4,7,130.3,24.46,25.54,1.159,0.662,0,0.0,-0.0011,0.0145,0.1145,0.0012,0.0144,,,-99170.42,-42318.42,-99170.42,,,,ippo,retraso
