variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,127,4169,5.00e-04,7.0,1810,7.3,20.98,4.01,15,-2962.8,-2.01,-5.762,1258,888,365,0.712,1762,218.8,75.3,0,0.0,0,0,5,12,102.75,19.85,20.59,0.635,0.92,0,0.0,0.05,0.00575,-2.4097,159875,160874,,,-36242.35,-15990.14,-36242.35,,,,dqn,retraso
vecinos,4042,128,4170,5.00e-04,7.2,1810,7.39,21.42,4.02,15,-2950.6,-1.988,-5.907,1247,848,397,0.778,1766,220.5,75.9,0,0.0,0,0,5,11,104.83,21.59,22.37,0.747,0.904,0,0.0,0.05,0.00539,-2.4124,161122,162121,,,-36831.42,-15942.76,-36831.42,,,,dqn,retraso
vecinos,4042,129,4171,5.00e-04,7.0,1810,7.16,20.78,3.88,14,-2881.6,-1.931,-5.644,1263,872,387,0.747,1768,219.1,75.4,0,0.0,0,0,5,11,103.74,20.95,21.47,0.721,0.912,0,0.0,0.05,0.0053,-2.4121,162385,163384,,,-35639.78,-15494.48,-35639.78,,,,dqn,retraso
vecinos,4042,130,4172,5.00e-04,7.1,1810,7.39,21.49,4.01,14,-2933.9,-1.98,-5.875,1257,873,381,0.763,1767,220.5,75.9,0,0.0,0,0,7,10,104.82,21.79,22.69,0.745,0.9,0,0.0,0.05,0.00574,-2.4301,163642,164641,21.17,7.15,-36925.31,-15963.11,-36925.31,21.17,20.35,20.76,dqn,retraso
vecinos,4042,131,4173,5.00e-04,7.1,1810,7.8,22.0,4.22,16,-3140.9,-2.119,-6.053,1261,886,372,0.788,1761,221.1,76.1,0,0.0,0,0,7,12,104.39,21.32,22.25,0.768,0.881,0,0.0,0.05,0.00567,-2.4306,164903,165902,,,-38161.08,-16854.59,-38161.08,,,,dqn,retraso
vecinos,4042,132,4174,5.00e-04,6.9,1810,7.52,21.86,4.09,14,-3009.9,-2.034,-6.05,1246,851,393,0.791,1770,221.5,76.1,0,0.0,0,0,7,13,106.02,22.86,24.32,0.822,0.866,0,0.0,0.05,0.00552,-2.4221,166149,167148,,,-37691.24,-16217.86,-37691.24,,,,dqn,retraso
vecinos,4042,133,4175,5.00e-04,7.1,1810,7.35,21.45,4.01,15,-2950.0,-1.993,-5.878,1259,885,371,0.735,1765,220.2,75.8,0,0.0,0,0,6,11,103.57,20.62,21.76,0.662,0.906,0,0.0,0.05,0.00533,-2.4058,167408,168407,,,-37001.8,-15990.53,-37001.8,,,,dqn,retraso
vecinos,4042,134,4176,5.00e-04,7.1,1810,7.49,21.05,4.07,16,-3002.2,-2.026,-5.762,1265,897,365,0.745,1763,219.7,75.7,0,0.0,0,0,6,12,102.38,19.65,19.9,0.654,0.906,0,0.0,0.05,0.00502,-2.3947,168673,169672,,,-36446.44,-16266.82,-36446.44,,,,dqn,retraso
vecinos,4042,135,4177,5.00e-04,7.0,1810,7.64,21.57,4.14,17,-3088.8,-2.084,-5.884,1271,913,355,0.741,1765,219.9,75.7,0,0.0,0,0,6,12,103.12,20.3,21.3,0.671,0.899,0,0.0,0.05,0.00555,-2.3769,169944,170943,,,-37390.4,-16571.94,-37390.4,,,,dqn,retraso
vecinos,4042,136,4178,5.00e-04,6.9,1810,6.93,21.56,3.81,15,-2758.4,-1.871,-6.069,1210,764,444,0.844,1768,221.9,76.2,0,0.0,0,0,6,13,107.77,24.82,26.11,0.955,0.838,0,0.0,0.05,0.00563,-2.405,171154,172153,,,-36718.95,-14841.6,-36718.95,,,,dqn,retraso
vecinos,4042,137,4179,5.00e-04,7.1,1810,7.5,21.5,4.08,16,-3026.7,-2.048,-5.875,1261,892,366,0.765,1769,220.6,75.9,0,0.0,0,0,6,12,104.51,21.71,22.24,0.749,0.898,0,0.0,0.05,0.00558,-2.3992,172415,173414,,,-37039.34,-16194.45,-37039.34,,,,dqn,retraso
vecinos,4042,138,4180,5.00e-04,7.1,1810,7.79,21.55,4.2,15,-3152.0,-2.115,-5.855,1278,915,357,0.735,1761,220.1,75.8,0,0.0,0,0,5,11,102.1,19.51,19.77,0.624,0.926,0,0.0,0.05,0.00555,-2.3872,173693,174692,,,-37414.81,-16966.09,-37414.81,,,,dqn,retraso
vecinos,4042,139,4181,5.00e-04,7.2,1810,8.62,22.17,4.63,18,-3537.0,-2.387,-6.02,1292,966,322,0.718,1767,220.5,76.1,0,0.0,0,0,8,12,101.76,19.09,19.31,0.587,0.924,0,0.0,0.05,0.00522,-2.3738,174985,175984,,,-38892.03,-18754.45,-38892.03,,,,dqn,retraso
vecinos,4042,140,4182,5.00e-04,7.0,1810,6.72,20.44,3.7,14,-2686.4,-1.818,-5.602,1240,835,402,0.742,1768,218.4,75.1,0,0.0,0,0,5,11,103.34,20.66,21.17,0.718,0.915,0,0.0,0.05,0.00446,-2.3668,176225,177224,21.24,6.86,-34733.39,-14612.07,-34733.39,21.24,20.79,21.015,dqn,retraso
vecinos,4042,141,4183,5.00e-04,7.0,1810,7.18,21.47,3.91,18,-2856.0,-1.925,-5.91,1244,834,406,0.797,1765,220.4,75.8,0,0.0,0,0,7,11,106.59,23.46,24.27,0.846,0.873,0,0.0,0.05,0.00469,-2.3732,177469,178468,,,-36760.35,-15449.65,-36760.35,,,,dqn,retraso
vecinos,4042,142,4184,5.00e-04,7.0,1810,6.81,20.78,3.74,14,-2738.7,-1.848,-5.75,1244,841,400,0.766,1766,219.4,75.4,0,0.0,0,0,6,11,104.9,21.81,21.82,0.778,0.889,0,0.0,0.05,0.00517,-2.3725,178713,179712,,,-35768.0,-14785.13,-35768.0,,,,dqn,retraso
vecinos,4042,143,4185,5.00e-04,7.1,1810,8.09,21.71,4.35,16,-3248.7,-2.189,-5.925,1279,929,347,0.726,1761,219.9,75.8,0,0.0,0,0,7,10,102.1,19.17,19.85,0.6,0.929,0,0.0,0.05,0.00492,-2.3867,179992,180991,,,-37890.21,-17598.56,-37890.21,,,,dqn,retraso
