verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
15,,10,0/10/0,31.54,13.2,1.18,2505.0,272.77,2.04,2001-2003
25,,20,0/30/0,31.67,12.92,0.9,2505.33,271.63,2.38,2001-2003
35,,10,0/20/0,31.67,14.12,0.88,2505.67,269.07,3.65,2001-2003
15,,10,0/0/0,31.73,10.81,1.22,2504.0,279.7,3.89,2001-2003
15,,10,0/23/15,31.73,12.95,1.19,2502.0,274.13,1.92,2001-2003
20,,10,0/23/23,31.78,12.94,1.18,2506.0,273.93,2.54,2001-2003
15,,10,0/30/29,31.81,10.87,1.22,2503.33,279.63,4.2,2001-2003
30,,10,0/35/0,31.84,13.81,1.04,2505.0,271.33,3.83,2001-2003
35,,10,0/30/9,31.85,14.26,0.89,2509.0,270.03,3.7,2001-2003
15,,15,0/23/10,31.86,13.55,1.06,2503.33,271.6,2.26,2001-2003
15,,10,0/25/25,31.9,11.97,1.23,2502.33,277.47,2.82,2001-2003
25,,20,0/20/0,31.97,13.3,0.9,2507.67,271.93,2.15,2001-2003
35,,15,0/25/50,31.99,13.34,0.89,2507.0,272.23,2.91,2001-2003
15,,10,0/15/30,32.02,13.53,1.22,2505.33,273.47,3.02,2001-2003
30,,10,0/20/20,32.03,14.64,1.01,2503.67,270.5,1.67,2001-2003
30,,20,0/30/0,32.03,13.37,0.87,2506.0,273.0,3.79,2001-2003
30,,15,0/20/0,32.04,13.73,0.9,2506.67,270.8,3.77,2001-2003
25,,15,0/30/14,32.07,13.31,1.0,2510.67,273.1,2.17,2001-2003
30,,10,0/25/25,32.07,14.56,0.98,2503.33,270.3,3.54,2001-2003
20,,10,0/10/10,32.13,12.83,1.18,2506.33,276.0,4.22,2001-2003
30,,15,0/30/9,32.14,13.67,0.91,2506.67,272.1,2.93,2001-2003
30,,15,0/23/46,32.25,13.98,0.85,2505.67,270.87,2.99,2001-2003
30,,10,0/15/30,32.26,13.67,1.02,2505.67,272.5,3.66,2001-2003
15,,10,0/23/0,32.32,13.13,1.25,2504.0,275.03,3.05,2001-2003
35,,10,0/25/25,32.38,15.42,0.93,2504.0,269.73,2.47,2001-2003
25,,10,0/20/20,32.39,13.87,1.14,2500.0,273.83,0.97,2001-2003
30,,10,0/23/23,32.41,14.8,1.0,2503.33,270.5,3.0,2001-2003
25,,20,0/30/9,32.45,13.27,0.94,2504.33,273.77,3.15,2001-2003
15,,10,0/25/0,32.53,13.27,1.24,2503.67,276.03,1.7,2001-2003
35,,10,0/5/0,32.55,14.73,0.98,2509.67,272.2,3.42,2001-2003
35,,10,0/20/40,32.59,14.31,0.95,2505.33,271.63,1.78,2001-2003
20,,10,0/25/25,32.63,13.63,1.22,2503.0,275.17,4.41,2001-2003
15,,15,0/15/0,32.66,14.63,1.07,2502.0,272.47,1.89,2001-2003
35,,15,0/25/0,32.7,14.1,0.93,2508.0,273.07,2.64,2001-2003
30,,10,0/30/14,32.79,14.72,0.98,2504.67,272.63,1.98,2001-2003
35,,10,0/0/0,32.81,15.26,0.98,2506.33,272.33,3.73,2001-2003
25,,10,0/15/15,32.82,13.95,1.13,2506.0,275.13,2.33,2001-2003
25,,10,0/30/19,32.85,13.64,1.12,2503.33,275.7,3.76,2001-2003
25,,15,0/15/30,32.85,13.54,1.06,2507.33,275.23,2.95,2001-2003
20,,20,0/30/0,32.87,13.7,0.99,2510.67,274.93,3.52,2001-2003
30,,20,0/30/4,32.89,13.49,0.89,2507.0,275.7,2.64,2001-2003
30,,15,0/35/0,32.91,14.05,1.06,2504.67,273.6,3.92,2001-2003
15,,15,0/25/0,32.95,14.28,1.11,2503.0,274.27,3.95,2001-2003
30,,10,0/10/0,32.95,14.47,1.04,2501.67,273.47,2.95,2001-2003
30,,15,0/25/25,32.97,15.26,1.01,2502.67,272.7,2.81,2001-2003
35,,15,0/30/30,33.01,15.39,0.98,2508.0,272.7,2.38,2001-2003
35,,10,0/15/15,33.04,15.07,1.04,2507.0,272.9,2.66,2001-2003
35,,15,0/23/0,33.05,14.26,0.98,2506.33,273.33,3.51,2001-2003
35,,10,0/20/20,33.13,15.46,1.01,2504.33,271.83,3.14,2001-2003
35,,10,0/35/0,33.14,15.05,1.01,2506.33,272.5,4.07,2001-2003
35,,15,0/25/25,33.17,15.37,1.0,2504.67,272.27,3.5,2001-2003
20,,15,0/30/0,33.19,14.03,1.1,2503.67,276.37,4.06,2001-2003
25,,10,0/10/20,33.19,13.62,1.17,2505.0,276.77,3.67,2001-2003
30,,10,0/0/0,33.19,14.79,1.06,2498.67,273.9,2.21,2001-2003
15,,10,0/30/30,33.22,11.94,1.26,2504.67,281.93,2.04,2001-2003
35,,15,0/30/4,33.22,14.4,0.91,2509.67,274.57,3.46,2001-2003
15,,20,0/23/5,33.23,15.02,0.98,2504.0,272.87,3.26,2001-2003
15,,10,0/20/0,33.26,14.14,1.27,2504.0,276.03,2.65,2001-2003
30,,10,0/30/30,33.27,14.76,1.11,2507.33,274.83,3.89,2001-2003
35,,10,0/5/5,33.33,15.45,1.02,2509.0,272.93,2.66,2001-2003
20,,10,0/30/24,33.35,12.99,1.21,2501.0,279.7,3.44,2001-2003
15,,10,0/20/9,33.36,14.41,1.21,2503.33,275.13,3.78,2001-2003
15,,15,0/23/0,33.38,14.63,1.12,2502.67,274.2,3.02,2001-2003
15,,15,0/20/20,33.39,13.62,1.26,2503.33,277.0,2.81,2001-2003
25,,20,0/20/40,33.4,13.75,0.99,2506.33,275.53,3.46,2001-2003
25,,15,0/10/0,33.41,14.29,1.09,2507.67,275.67,3.24,2001-2003
30,,20,0/25/0,33.41,13.9,0.97,2505.33,275.6,3.72,2001-2003
30,,20,0/25/50,33.41,13.77,0.94,2504.0,275.7,3.31,2001-2003
15,,20,0/20/0,33.42,15.1,0.97,2502.33,273.13,3.38,2001-2003
15,,10,0/15/0,33.43,14.57,1.25,2505.67,275.63,2.81,2001-2003
20,,15,0/10/0,33.43,14.11,1.13,2504.33,276.47,3.46,2001-2003
25,,10,0/10/10,33.44,13.62,1.16,2507.67,277.9,3.6,2001-2003
35,,10,0/15/0,33.44,14.94,1.0,2506.67,274.17,2.66,2001-2003
30,,10,0/5/0,33.5,14.68,1.06,2498.33,275.47,4.35,2001-2003
15,,15,0/20/0,33.54,15.03,1.1,2503.0,273.77,4.14,2001-2003
15,,15,0/20/4,33.54,15.16,1.13,2502.33,274.27,2.5,2001-2003
15,,10,0/10/20,33.66,14.45,1.25,2507.33,276.53,2.28,2001-2003
30,,10,0/10/10,33.67,14.66,1.14,2501.67,275.33,2.26,2001-2003
15,,15,0/10/0,33.7,15.04,1.12,2501.67,276.47,4.44,2001-2003
20,,20,0/15/0,33.7,14.77,1.01,2508.67,275.07,2.21,2001-2003
20,,15,0/30/19,33.71,13.86,1.14,2503.33,279.0,1.65,2001-2003
30,,10,0/15/15,33.71,15.06,1.12,2503.0,275.2,2.81,2001-2003
15,,15,0/15/15,33.78,13.79,1.29,2505.33,278.6,2.93,2001-2003
20,,10,0/30/0,33.79,13.81,1.25,2501.67,279.87,4.14,2001-2003
25,,20,0/35/0,33.79,14.3,1.13,2504.67,276.07,4.09,2001-2003
20,,10,0/5/0,33.82,13.14,1.27,2503.67,281.07,3.14,2001-2003
15,,20,0/23/0,33.85,15.29,0.98,2502.0,274.1,4.96,2001-2003
35,,10,0/23/23,33.87,16.28,0.97,2504.33,272.6,1.79,2001-2003
35,,15,0/23/23,33.88,15.79,1.05,2503.67,273.53,2.27,2001-2003
35,,15,0/23/46,33.93,14.75,1.03,2506.0,274.8,2.77,2001-2003
35,,10,0/35/35,33.96,15.78,1.09,2506.33,274.4,3.19,2001-2003
35,,15,0/35/0,33.96,15.1,1.04,2506.67,274.1,5.1,2001-2003
25,,15,0/35/0,33.98,14.86,1.19,2510.67,276.5,2.91,2001-2003
15,,15,0/23/23,34.06,14.1,1.31,2504.67,279.23,2.93,2001-2003
15,,15,0/25/14,34.08,14.97,1.13,2501.33,277.3,2.55,2001-2003
25,,10,0/30/30,34.08,14.65,1.22,2503.67,278.13,3.21,2001-2003
30,,15,0/15/0,34.12,14.81,1.04,2506.0,276.5,4.09,2001-2003
15,,20,0/25/9,34.15,15.53,1.03,2502.0,276.3,1.63,2001-2003
20,,15,0/25/25,34.22,14.9,1.23,2502.0,278.03,4.1,2001-2003
35,,15,0/20/0,34.28,15.01,1.06,2504.33,275.97,3.57,2001-2003
25,,10,0/23/23,34.37,15.42,1.17,2500.67,276.57,2.24,2001-2003
30,,20,0/35/0,34.4,14.84,1.08,2506.0,276.23,3.65,2001-2003
30,,10,0/40/0,34.47,15.78,1.15,2503.0,277.0,2.9,2001-2003
25,,10,0/5/0,34.49,14.88,1.23,2504.33,277.93,3.17,2001-2003
15,,15,0/25/25,34.52,14.41,1.35,2503.33,280.87,2.46,2001-2003
15,,15,0/15/30,34.53,15.73,1.14,2505.33,275.77,4.23,2001-2003
25,,10,0/35/29,34.53,14.52,1.32,2503.33,279.7,3.15,2001-2003
20,,20,0/30/14,34.54,14.46,1.08,2504.33,279.23,2.9,2001-2003
35,,15,0/0/0,34.54,15.9,1.12,2509.67,276.47,2.99,2001-2003
