modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
baseline,0,1001,0,4350,7.41,20.76,9.34,30,-7148.1,-1.053,6786,1476,0.689,4211,278.9,97.4,,0.0,,
baseline,0,1006,0,4350,7.35,20.68,9.27,28,-7074.9,-1.044,6777,1471,0.68,4211,278.7,97.3,,0.0,,
actuado,0,1006,0,4350,7.8,25.42,9.9,30,-7319.9,-1.086,6741,2313,1.279,4198,299.7,103.6,,0.0,,
baseline,0,999,0,4350,7.48,20.9,9.4,31,-7172.5,-1.06,6768,1471,0.695,4211,279.2,97.5,,0.0,,
baseline,0,1999,0,4350,7.47,20.82,9.45,30,-7212.5,-1.07,6741,1462,0.692,4210,279.0,97.4,,0.0,,
