variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,17,2059,9.20e-04,24.9,4350,10.29,26.52,12.79,33,-9813.7,-1.456,-3.685,5589,3637,1936,1.195,4203,296.5,103.0,0,0.0,0,0,4,8,126.32,20.59,21.09,0.836,0.86,0,0.0,-0.0024,0.0109,0.2472,0.0038,0.0405,,,-102982.55,-50900.73,-102982.55,,,,mappo,retraso
vecinos,2042,18,2060,9.15e-04,25.0,4350,10.85,27.02,13.28,33,-10323.5,-1.515,-3.718,5678,3755,1908,1.182,4204,297.3,103.4,0,0.0,0,0,4,8,126.1,20.56,21.22,0.84,0.854,0,0.0,-0.0028,0.0113,0.2372,0.0039,0.0417,,,-105553.96,-53665.38,-105553.96,,,,mappo,retraso
vecinos,2042,19,2061,9.10e-04,24.8,4350,10.32,26.24,12.79,41,-9827.2,-1.456,-3.634,5630,3729,1885,1.114,4203,295.2,102.6,0,0.0,0,0,3,7,125.03,19.32,19.91,0.734,0.889,0,0.0,-0.0028,0.0108,0.2224,0.004,0.0388,,,-102309.87,-51307.68,-102309.87,,,,mappo,retraso
vecinos,2042,20,2062,9.05e-04,25.2,4350,10.72,26.87,13.21,35,-10201.4,-1.505,-3.694,5664,3783,1868,1.16,4204,296.7,103.2,0,0.0,0,0,5,8,127.14,21.35,22.37,0.869,0.82,0,0.0,-0.0024,0.011,0.2372,0.0051,0.0439,25.3,9.91,-104620.9,-53125.38,-104620.9,25.3,24.49,24.895,mappo,retraso
vecinos,2042,21,2063,9.00e-04,25.4,4350,10.15,26.02,12.5,35,-9690.9,-1.424,-3.553,5701,3835,1852,1.12,4206,294.7,102.5,0,0.0,0,0,3,8,126.28,20.62,21.42,0.845,0.827,0,0.0,0.0001,0.0111,0.2344,0.004,0.0405,,,-101285.42,-50520.04,-101285.42,,,,mappo,retraso
vecinos,2042,22,2064,8.95e-04,24.8,4350,10.85,27.09,13.38,37,-10334.3,-1.531,-3.745,5674,3853,1804,1.177,4197,297.3,103.3,0,0.0,0,0,4,9,125.54,19.95,20.54,0.808,0.847,0,0.0,-0.004,0.0105,0.259,0.0057,0.0598,,,-106239.12,-53672.84,-106239.12,,,,mappo,retraso
vecinos,2042,23,2065,8.90e-04,25.1,4350,10.4,26.48,12.89,37,-9914.2,-1.469,-3.669,5653,3798,1842,1.161,4197,296.3,103.0,0,0.0,0,0,4,8,125.38,19.99,20.55,0.812,0.847,0,0.0,-0.0031,0.01,0.2686,0.0046,0.0475,,,-103698.92,-51584.28,-103698.92,,,,mappo,retraso
vecinos,2042,24,2066,8.85e-04,24.9,4350,10.9,27.43,13.38,36,-10396.2,-1.528,-3.756,5713,3864,1832,1.22,4192,298.5,103.7,0,0.0,0,0,5,9,126.68,21.11,22.02,0.875,0.819,0,0.0,-0.0033,0.0097,0.2663,0.0054,0.0558,,,-107281.85,-53995.26,-107281.85,,,,mappo,retraso
vecinos,2042,25,2067,8.80e-04,25.1,4350,10.61,26.71,13.15,34,-10132.6,-1.503,-3.681,5683,3888,1780,1.142,4205,296.4,103.0,0,0.0,0,0,4,8,125.61,20.12,21.23,0.782,0.861,0,0.0,-0.0039,0.0105,0.2699,0.0068,0.0622,,,-104606.62,-52719.94,-104606.62,,,,mappo,retraso
vecinos,2042,26,2068,8.75e-04,25.0,4350,10.99,27.58,13.59,39,-10479.6,-1.555,-3.797,5653,3802,1835,1.229,4203,299.0,103.9,0,0.0,0,0,5,8,126.54,21.31,22.04,0.886,0.805,0,0.0,-0.0021,0.0108,0.2751,0.005,0.052,,,-107328.36,-54317.03,-107328.36,,,,mappo,retraso
vecinos,2042,27,2069,8.70e-04,24.8,4350,10.34,26.56,12.82,38,-9855.1,-1.46,-3.647,5661,3821,1824,1.166,4198,296.5,103.0,0,0.0,0,0,4,8,126.69,21.22,21.86,0.899,0.814,0,0.0,-0.0042,0.0099,0.2635,0.0052,0.0527,,,-103219.39,-51293.84,-103219.39,,,,mappo,retraso
vecinos,2042,28,2070,8.65e-04,25.2,4350,10.59,27.04,13.06,32,-10088.3,-1.493,-3.716,5638,3741,1880,1.205,4202,297.5,103.3,0,0.0,0,0,4,8,126.36,20.89,21.47,0.856,0.832,0,0.0,-0.0029,0.0101,0.2571,0.0047,0.0497,,,-104750.42,-52250.56,-104750.42,,,,mappo,retraso
vecinos,2042,29,2071,8.60e-04,25.1,4350,10.56,26.97,13.08,37,-10057.9,-1.49,-3.721,5619,3706,1898,1.189,4208,297.9,103.5,0,0.0,0,0,4,8,126.68,21.08,21.61,0.871,0.828,0,0.0,-0.0045,0.0106,0.2387,0.0054,0.0503,,,-104543.88,-52289.12,-104543.88,,,,mappo,retraso
vecinos,2042,30,2072,8.55e-04,24.8,4350,10.64,27.11,13.13,35,-10129.6,-1.495,-3.724,5655,3748,1893,1.2,4201,297.9,103.5,0,0.0,0,0,4,8,126.18,20.62,21.27,0.846,0.84,0,0.0,-0.0034,0.0105,0.2424,0.0059,0.0521,26.12,10.37,-105301.92,-52680.64,-105301.92,26.12,26.29,26.205,mappo,retraso
vecinos,2042,31,2073,8.50e-04,24.7,4350,10.36,26.25,12.81,40,-9855.7,-1.462,-3.625,5648,3791,1840,1.143,4201,295.2,102.6,0,0.0,0,0,4,8,124.75,19.35,19.7,0.767,0.878,0,0.0,-0.0017,0.0105,0.2103,0.0048,0.0448,,,-102377.67,-51232.21,-102377.67,,,,mappo,retraso
vecinos,2042,32,2074,8.45e-04,24.9,4350,10.44,26.35,12.92,34,-10001.8,-1.482,-3.639,5656,3807,1831,1.126,4201,295.1,102.6,0,0.0,0,0,4,8,124.62,18.88,19.59,0.727,0.893,0,0.0,-0.0041,0.0095,0.2093,0.0047,0.0429,,,-102914.13,-51834.82,-102914.13,,,,mappo,retraso
vecinos,2042,33,2075,8.40e-04,24.7,4350,10.35,26.34,12.76,40,-9871.1,-1.453,-3.602,5702,3853,1832,1.13,4197,295.4,102.7,0,0.0,0,0,4,8,124.99,19.7,20.16,0.772,0.868,0,0.0,-0.0037,0.0098,0.2224,0.005,0.0449,,,-102696.16,-51451.17,-102696.16,,,,mappo,retraso
vecinos,2042,34,2076,8.35e-04,24.9,4350,10.56,26.63,13.06,35,-10056.2,-1.492,-3.68,5648,3797,1838,1.154,4206,295.9,102.9,0,0.0,0,0,4,8,125.32,19.93,20.46,0.794,0.851,0,0.0,-0.0033,0.0105,0.2171,0.0047,0.0424,,,-103919.28,-52290.4,-103919.28,,,,mappo,retraso
vecinos,2042,35,2077,8.30e-04,25.3,4350,10.29,26.18,12.73,32,-9816.9,-1.45,-3.593,5685,3842,1828,1.12,4205,295.0,102.6,0,0.0,0,0,4,9,125.26,19.49,19.98,0.747,0.872,0,0.0,-0.0028,0.0093,0.2266,0.0055,0.0458,,,-102117.69,-51173.65,-102117.69,,,,mappo,retraso
vecinos,2042,36,2078,8.25e-04,24.5,4350,10.37,26.38,12.89,36,-9936.0,-1.476,-3.641,5642,3795,1832,1.143,4199,295.5,102.7,0,0.0,0,0,4,8,125.33,19.81,20.66,0.78,0.865,0,0.0,-0.0032,0.0105,0.2228,0.0054,0.0471,,,-102719.08,-51512.71,-102719.08,,,,mappo,retraso
vecinos,2042,37,2079,8.20e-04,25.1,4350,10.44,26.72,12.79,33,-10006.5,-1.461,-3.631,5733,3851,1869,1.172,4201,297.2,103.2,0,0.0,0,0,4,8,126.59,21.16,21.96,0.894,0.809,0,0.0,-0.0035,0.0086,0.2453,0.0059,0.0547,,,-104081.46,-51897.26,-104081.46,,,,mappo,retraso
