t,W1_C11,C12_C11,N1_C11,C21_C11,C11_C12,C13_C12,N2_C12,C22_C12,C12_C13,E1_C13,N3_C13,C23_C13,W2_C21,C22_C21,C11_C21,C31_C21,C21_C22,C23_C22,C12_C22,C32_C22,C22_C23,E2_C23,C13_C23,C33_C23,W3_C31,C32_C31,C21_C31,S1_C31,C31_C32,C33_C32,C22_C32,S2_C32,C32_C33,E3_C33,C23_C33,S3_C33
60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
120,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3
180,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
240,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,1
300,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0
360,0,0,1,2,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0
420,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
480,0,0,1,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0
540,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2
600,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
660,0,0,0,1,3,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
720,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
780,2,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,3,3,0,0,0,3,0,0,0,0,1,0,0,0,0,2,1
840,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
900,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
960,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1020,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,4,1,0,0
1080,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,3
1140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3
1260,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,2,1
1320,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
1380,3,2,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,2,3,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1
1440,2,1,0,0,0,0,1,1,0,0,1,3,2,0,0,0,1,1,0,0,0,0,2,3,3,2,0,0,0,0,1,1,2,0,0,0
1500,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
1560,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1
1620,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1
1680,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,2,1
1740,1,0,0,0,0,0,1,2,0,1,0,0,2,2,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,1,1
1800,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0
1860,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
1920,1,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,1,0,0,2,2
1980,0,1,0,0,0,0,1,1,2,1,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2
2040,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,2,5,0,0,0,0,0,1
2100,1,2,0,0,1,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2160,1,3,0,0,0,0,1,0,4,3,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,1
2220,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1
2280,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
2340,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,0,1,2
2400,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0
2460,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
2520,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2580,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0
2640,1,5,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0
2700,0,4,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,1,1,2,0,0,2,1,0,0
2760,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3
2820,0,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,1
2880,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2940,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,2,0,0
3060,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,1,1,0,0,2,2,0,0,2,1
3120,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
3180,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0
3240,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,1,0,0
3300,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,3
3360,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,1
3420,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3480,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1
3540,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,2,0
3600,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3660,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
3720,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
