modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,173,215,0.01,3620,78.03,160.31,54.48,159,retraso,-31.561,1860,386,5.161,2868,441.6,155.9,859,77.4931,,,,,15.6,,-618268.2,-331457.9,-624574.2,qlearning,42,-66026.3,0,0.0008,10,34
train,174,216,0.01,3620,70.07,149.55,44.91,160,retraso,-26.609,2012,445,4.758,2824,422.4,148.8,859,61.0588,,,,,15.8,,-582074.3,-305103.1,-596434.3,qlearning,42,-60667.8,0,0.0186,112,38
train,175,217,0.01,3620,77.36,157.09,51.18,159,retraso,-29.867,1965,403,4.889,2828,435.5,153.8,859,57.145,,,,,15.8,,-608950.6,-331028.8,-624642.6,qlearning,42,-65886.7,0,0.0247,108,38
train,176,218,0.01,3620,66.32,150.6,44.21,119,retraso,-25.008,1936,428,5.212,2852,424.2,149.0,859,73.0407,,,,,15.7,,-570203.8,-275873.5,-573729.8,qlearning,42,-54816.5,0,0.0,0,29
train,177,219,0.01,3620,85.02,164.66,56.92,166,retraso,-33.699,1947,385,4.919,2813,447.0,158.3,859,76.3366,,,,,16.1,,-645855.5,-368335.7,-656947.5,qlearning,42,-73397.1,0,0.0186,86,38
train,178,220,0.01,3620,57.0,132.84,38.33,117,retraso,-21.778,1917,438,4.419,2877,397.6,138.9,859,47.9407,,,,,15.0,,-502473.2,-238969.0,-506721.2,qlearning,42,-47475.5,0,0.0,0,30
train,179,221,0.01,3620,95.55,175.71,62.63,180,retraso,-37.324,2014,346,5.046,2814,464.1,165.5,860,58.4028,,,,,14.3,,-695703.5,-416242.3,-707807.5,qlearning,42,-82934.6,0,0.0128,64,38
train,180,222,0.01,3620,62.17,143.23,40.3,115,retraso,-22.941,1989,449,4.837,2847,412.2,144.5,861,89.2755,174.34,88.54,174.34,139.11,13.7,156.725,-543294.3,-260802.9,-547388.3,qlearning,42,-51801.5,0,0.0,0,33
train,181,223,0.01,3620,64.22,138.47,42.76,123,retraso,-24.593,1947,418,4.523,2871,406.8,142.8,862,53.9151,,,,,13.3,,-529630.4,-271859.5,-537332.4,qlearning,42,-54056.2,0,0.005,19,38
train,182,224,0.01,3620,61.35,132.7,40.93,107,retraso,-23.489,1951,404,4.446,2852,399.2,140.0,862,53.8159,,,,,13.4,,-506981.8,-259519.6,-513671.8,qlearning,42,-51533.9,0,0.0039,14,38
train,183,225,0.01,3620,72.89,150.57,50.65,126,retraso,-29.26,1871,386,4.786,2905,426.4,150.3,862,66.9531,,,,,13.1,,-579498.7,-309057.5,-585978.7,qlearning,42,-61505.1,0,0.0042,30,38
train,184,226,0.01,3620,76.84,156.97,53.0,140,retraso,-30.784,1895,369,5.018,2888,435.9,153.9,862,58.3662,,,,,13.5,,-606325.2,-327200.8,-612279.2,qlearning,42,-65139.2,0,0.005,18,38
train,185,227,0.01,3620,65.02,136.26,44.46,123,retraso,-25.546,1913,377,4.361,2889,404.6,142.0,862,68.6324,,,,,13.2,,-522408.9,-275388.0,-528684.9,qlearning,42,-54667.5,0,0.0022,10,36
train,186,228,0.01,3620,90.32,163.65,60.63,150,retraso,-35.806,1964,345,4.76,2851,448.4,159.5,862,60.3673,,,,,14.0,,-645188.1,-390452.0,-657736.1,qlearning,42,-77770.9,0,0.0131,47,38
train,187,229,0.01,3620,69.36,144.7,47.35,118,retraso,-27.475,1921,366,4.62,2891,417.7,147.1,862,53.7981,,,,,13.2,,-557082.6,-295929.0,-560248.6,qlearning,42,-58850.9,0,0.0,0,31
train,188,230,0.01,3620,64.11,136.26,43.81,114,retraso,-25.133,1910,385,4.5,2903,404.8,142.1,862,58.6413,,,,,12.9,,-522064.8,-270958.2,-528630.8,qlearning,42,-53834.9,0,0.0092,33,38
train,189,231,0.01,3620,67.55,141.68,45.45,125,retraso,-26.127,1936,391,4.649,2846,412.8,145.1,862,82.5849,,,,,13.4,,-543474.5,-286028.4,-550602.5,qlearning,42,-56746.8,0,0.0089,32,38
train,190,232,0.01,3620,75.66,158.62,53.29,129,retraso,-30.721,1852,369,5.042,2917,438.0,154.3,863,80.8991,175.61,93.46,175.61,167.23,13.8,171.42,-609727.0,-320401.0,-611907.0,qlearning,42,-63715.9,0,0.0,0,33
