variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,17,2059,5.00e-04,21.6,3600,72.58,187.33,43.99,103,-56805.4,-23.689,-68.498,2011,1359,650,7.652,2748,470.2,165.3,74,0.0,0,0,26,37,366.95,286.22,329.66,11.738,0.046,0,0.0,0.848,0.12616,-19.1738,33040,34039,,,-688751.34,-285995.26,-689773.34,,,,dqn,retraso
vecinos,2042,18,2060,5.00e-04,21.6,3605,74.06,187.11,44.95,112,-58603.2,-24.438,-68.768,2013,1362,648,7.358,2726,471.7,165.6,67,0.0,2,1,34,37,370.65,289.61,326.29,11.466,0.012,0,0.0,0.8385,0.13208,-19.5284,35053,36052,,,-692150.4,-295242.35,-695676.4,,,,dqn,retraso
vecinos,2042,19,2061,5.00e-04,21.8,3617,72.01,185.68,43.84,137,-57117.6,-23.819,-68.559,2008,1348,657,7.471,2710,468.1,164.4,95,0.0,0,0,33,38,366.02,285.56,328.12,11.511,0.045,0,0.0,0.829,0.13424,-19.8964,37061,38060,,,-688330.77,-287644.38,-690760.77,,,,dqn,retraso
vecinos,2042,20,2062,5.00e-04,23.7,3620,66.55,176.05,40.6,95,-52451.1,-21.873,-64.485,2015,1367,645,6.999,2810,456.8,160.1,38,0.0,0,0,27,37,346.55,264.63,306.32,10.574,0.058,0,0.0,0.8195,0.14043,-20.3787,39076,40075,177.76,89.83,-649690.03,-264236.84,-650770.03,177.76,181.9,179.83,dqn,retraso
vecinos,2042,21,2063,5.00e-04,26.8,3620,70.97,185.07,43.25,107,-56124.8,-23.405,-67.941,2016,1370,642,7.316,2732,467.8,164.2,68,0.0,0,0,29,37,358.86,277.99,319.78,10.949,0.059,0,0.0,0.81,0.14629,-20.6584,41092,42091,,,-684849.72,-282647.38,-686265.72,,,,dqn,retraso
vecinos,2042,22,2064,5.00e-04,18.5,3584,76.39,183.27,46.05,119,-60123.2,-25.072,-66.73,2024,1392,629,7.119,2750,466.5,164.2,74,0.0031,11,1,37,37,371.18,290.61,346.39,11.306,0.062,0,0.0,0.8005,0.15345,-20.9219,43116,44115,,,-675309.09,-302612.54,-679843.09,,,,dqn,retraso
vecinos,2042,23,2065,5.00e-04,17.6,3620,66.83,177.47,40.77,109,-52654.8,-21.958,-65.016,2015,1368,644,7.102,2756,460.0,161.0,33,0.0,0,0,32,37,354.31,272.14,311.63,10.771,0.021,0,0.0,0.791,0.15177,-21.1217,45131,46130,,,-655039.6,-265330.73,-656781.6,,,,dqn,retraso
vecinos,2042,24,2066,5.00e-04,17.8,3620,69.85,183.52,42.58,114,-55100.5,-22.978,-67.581,2008,1349,655,7.348,2733,466.8,163.7,58,0.0,0,0,31,37,359.06,277.81,319.52,11.156,0.018,0,0.0,0.7815,0.153,-21.1893,47139,48138,,,-678511.66,-277707.25,-680359.66,,,,dqn,retraso
vecinos,2042,25,2067,5.00e-04,17.2,3620,67.26,174.48,41.02,117,-53269.4,-22.214,-63.772,2025,1392,628,6.984,2792,456.4,160.0,26,0.0,0,0,30,37,333.91,251.49,292.75,10.216,0.057,0,0.0,0.772,0.15504,-21.3751,49164,50163,,,-645688.25,-268447.87,-647292.25,,,,dqn,retraso
vecinos,2042,26,2068,5.00e-04,17.7,3620,68.63,178.78,41.84,111,-54400.1,-22.686,-65.604,2016,1372,642,7.065,2781,461.7,161.8,39,0.0,0,0,32,38,344.8,262.77,305.39,10.429,0.074,0,0.0,0.7625,0.15851,-21.4301,51180,52179,,,-661289.16,-273832.76,-664233.16,,,,dqn,retraso
