t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
157,0,0,0,2,3,2,2,2,2
158,0,0,0,2,3,2,2,2,3
159,0,0,0,2,3,2,2,2,3
160,0,0,0,2,0,2,2,2,3
161,0,0,0,2,0,2,2,2,0
162,0,0,0,3,0,2,2,2,0
163,0,0,0,3,0,2,2,2,0
164,0,0,0,3,0,2,2,2,0
165,1,1,1,0,0,2,2,2,0
166,1,1,1,0,0,2,2,3,0
167,1,1,1,0,0,3,3,3,0
168,2,2,2,0,0,3,3,3,0
169,2,2,2,0,0,3,3,0,0
170,2,2,2,0,0,0,0,0,0
171,2,2,2,0,0,0,0,0,0
172,2,2,2,0,0,0,0,0,0
173,2,2,2,0,0,0,0,0,0
174,2,2,2,0,0,0,0,0,0
175,2,2,2,1,1,0,0,0,0
176,2,2,2,1,1,0,0,0,0
177,2,2,2,1,1,0,0,0,0
178,3,3,3,2,2,0,0,0,0
179,3,3,3,2,2,0,0,0,0
180,3,3,3,2,2,1,0,0,0
181,0,0,0,2,2,1,0,0,1
182,0,0,0,2,2,1,0,0,1
183,0,0,0,2,2,2,0,0,1
184,0,0,0,2,2,2,0,1,2
185,0,0,0,2,2,2,1,1,2
186,0,0,0,2,2,2,1,1,2
187,0,0,0,2,2,2,1,2,2
188,0,0,0,3,3,2,2,2,2
189,0,0,0,3,3,2,2,2,2
190,0,0,0,3,3,2,2,2,2
191,0,0,0,0,0,2,2,2,2
192,0,0,0,0,0,2,2,2,2
193,0,0,0,0,0,3,2,2,2
194,0,0,0,0,0,3,2,2,3
195,0,0,0,0,0,3,2,2,3
196,0,0,0,0,0,0,2,2,3
197,0,0,0,0,0,0,2,3,0
198,0,0,0,0,0,0,3,3,0
199,0,0,0,0,0,0,3,3,0
200,0,0,0,0,0,0,3,0,0
201,1,1,1,1,1,0,0,0,0
202,1,1,1,1,1,0,0,0,0
203,1,1,1,1,1,0,0,0,0
204,2,2,2,2,2,0,0,0,0
205,2,2,2,2,2,0,0,0,0
206,2,2,2,2,2,1,0,0,0
207,2,2,2,2,2,1,0,0,0
208,2,2,2,2,2,1,0,0,0
209,2,2,2,2,2,2,0,0,0
210,2,2,2,2,2,2,0,0,0
211,2,2,2,2,2,2,0,0,0
212,2,2,2,2,2,2,0,0,0
213,2,2,2,2,2,2,0,0,0
214,3,3,3,3,3,2,0,0,0
215,3,3,3,3,3,2,0,0,0
216,3,3,3,3,3,2,0,0,0
217,0,0,0,0,0,2,0,0,0
218,0,0,0,0,0,2,0,0,0
219,0,0,0,0,0,3,0,0,0
220,0,0,0,0,0,3,0,1,0
221,0,0,0,0,0,3,1,1,0
222,0,0,0,0,0,0,1,1,1
223,0,0,0,0,0,0,1,2,1
224,0,0,0,0,0,0,2,2,1
225,0,0,0,0,0,0,2,2,2
226,0,0,0,0,0,0,2,2,2
227,1,1,1,0,1,0,2,2,2
228,1,1,1,0,1,0,2,2,2
229,1,1,1,0,1,0,2,2,2
230,2,2,2,0,2,0,2,2,2
231,2,2,2,0,2,0,2,2,2
232,2,2,2,0,2,0,2,2,2
233,2,2,2,0,2,0,2,3,2
234,2,2,2,0,2,0,3,3,2
235,2,2,2,0,2,0,3,3,3
236,2,2,2,0,2,0,3,0,3
237,2,2,2,1,2,1,0,0,3
238,2,2,2,1,2,1,0,0,0
239,2,2,2,1,2,1,0,0,0
240,3,3,2,2,3,2,0,0,0
241,3,3,2,2,3,2,0,0,0
242,3,3,2,2,3,2,0,0,0
243,0,0,2,2,0,2,0,0,0
244,0,0,2,2,0,2,0,0,0
245,0,0,3,2,0,2,0,0,0
246,0,0,3,2,0,2,0,0,0
247,0,0,3,2,0,2,0,0,0
248,0,0,0,2,0,2,0,0,0
249,0,0,0,2,0,2,0,0,0
250,0,0,0,3,0,3,0,0,0
251,0,0,0,3,0,3,0,0,0
252,0,0,0,3,0,3,0,0,0
253,0,1,0,0,1,0,0,0,0
254,0,1,0,0,1,0,0,0,0
255,0,1,0,0,1,0,0,0,0
256,0,2,0,0,2,0,0,0,0
257,0,2,0,0,2,0,0,0,0
258,1,2,0,0,2,0,0,0,0
259,1,2,0,0,2,0,0,0,0
260,1,2,0,0,2,0,0,0,0
261,2,2,0,0,2,0,0,1,0
262,2,2,0,0,2,0,0,1,0
263,2,2,1,1,2,1,0,1,1
264,2,2,1,1,2,1,0,2,1
265,2,2,1,1,2,1,0,2,1
266,2,3,2,2,3,2,0,2,2
267,2,3,2,2,3,2,0,2,2
268,2,3,2,2,3,2,0,2,2
269,2,0,2,2,0,2,0,2,2
270,2,0,2,2,0,2,0,2,2
271,3,0,2,2,0,2,0,2,2
272,3,0,2,2,0,2,1,2,2
273,3,0,2,2,0,2,1,2,2
274,0,0,2,2,0,2,1,3,2
275,0,0,2,2,0,2,2,3,2
276,0,0,3,3,0,3,2,3,3
277,0,0,3,3,0,3,2,0,3
278,0,0,3,3,0,3,2,0,3
279,0,1,0,0,0,0,2,0,0
280,0,1,0,0,0,0,2,0,0
281,0,1,0,0,0,0,2,0,0
282,0,2,0,0,0,0,2,0,0
283,0,2,0,0,0,0,2,0,0
284,0,2,0,0,1,0,2,0,0
285,0,2,0,0,1,0,3,0,0
286,0,2,0,0,1,0,3,0,0
287,0,2,0,0,2,0,3,0,0
288,0,2,0,0,2,0,0,0,0
289,1,2,0,0,2,0,0,0,1
290,1,2,0,0,2,0,0,0,1
291,1,2,0,0,2,0,0,0,1
292,2,3,0,0,2,0,0,0,2
293,2,3,0,0,2,0,0,0,2
294,2,3,0,1,2,0,0,0,2
295,2,0,0,1,2,0,0,0,2
296,2,0,0,1,2,0,0,0,2
297,2,0,0,2,3,0,0,1,2
298,2,0,0,2,3,0,1,1,2
299,2,0,1,2,3,1,1,1,2
300,2,0,1,2,0,1,1,2,2
301,2,0,1,2,0,1,2,2,2
302,3,0,2,2,0,2,2,2,3
303,3,0,2,2,0,2,2,2,3
304,3,0,2,2,0,2,2,2,3
305,0,1,2,2,0,2,2,2,0
306,0,1,2,2,0,2,2,2,0
307,0,1,2,3,0,2,2,2,0
308,0,2,2,3,0,2,2,2,0
309,0,2,2,3,0,2,2,2,0
310,0,2,2,0,0,2,2,3,0
311,0,2,2,0,0,2,2,3,0
312,0,2,2,0,0,3,2,3,0
313,0,2,2,0,0,3,2,0,0
314,0,2,2,0,0,3,2,0,0
315,0,2,2,0,1,0,2,0,0
316,0,2,2,0,1,0,3,0,0
317,0,2,3,0,1,0,3,0,0
318,0,3,3,0,2,0,3,0,0
319,0,3,3,0,2,0,0,0,0
320,0,3,0,0,2,0,0,0,1
321,0,0,0,0,2,0,0,0,1
322,0,0,0,0,2,0,0,0,1
323,0,0,0,0,2,0,0,1,2
324,0,0,0,0,2,0,0,1,2
325,1,0,0,1,2,0,0,1,2
326,1,0,0,1,2,0,0,2,2
327,1,0,0,1,2,0,0,2,2
328,2,0,0,2,3,0,0,2,2
329,2,0,0,2,3,0,0,2,2
330,2,0,0,2,3,1,0,2,2
331,2,1,0,2,0,1,0,2,2
332,2,1,0,2,0,1,0,2,2
333,2,1,0,2,0,2,0,2,3
334,2,2,0,2,0,2,0,2,3
335,2,2,0,2,0,2,0,2,3
336,2,2,0,2,0,2,0,3,0
337,2,2,0,2,0,2,0,3,0
338,3,2,0,3,0,2,0,3,0
339,3,2,0,3,0,2,1,0,0
340,3,2,1,3,0,2,1,0,0
341,0,2,1,0,1,2,1,0,0
342,0,2,1,0,1,2,2,0,0
343,0,2,2,0,1,3,2,0,0
344,0,3,2,0,2,3,2,0,0
345,0,3,2,0,2,3,2,0,0
346,0,3,2,0,2,0,2,0,1
347,0,0,2,0,2,0,2,0,1
348,0,0,2,0,2,0,2,0,1
349,0,0,2,0,2,0,2,0,2
350,0,0,2,0,2,0,2,0,2
351,0,0,2,0,2,0,2,0,2
352,0,0,2,0,2,0,3,0,2
353,0,0,2,0,2,0,3,0,2
354,0,0,2,0,3,0,3,0,2
355,0,0,2,0,3,0,0,0,2
356,0,0,2,0,3,1,0,0,2
357,0,1,2,0,0,1,0,0,2
358,0,1,3,0,0,1,0,0,2
359,0,1,3,0,0,2,0,0,3
360,0,2,3,0,0,2,0,0,3
361,1,2,0,1,0,2,0,0,3
362,1,2,0,1,0,2,0,0,0
363,1,2,0,1,0,2,0,0,0
364,2,2,0,2,0,2,0,1,0
365,2,2,0,2,0,2,1,1,0
366,2,2,0,2,0,2,1,1,0
367,2,2,0,2,1,2,1,2,0
368,2,2,0,2,1,2,2,2,0
369,2,2,0,2,1,3,2,2,0
370,2,3,0,2,2,3,2,2,0
371,2,3,0,2,2,3,2,2,0
372,2,3,0,2,2,0,2,2,1
373,2,0,0,2,2,0,2,2,1
374,3,0,0,3,2,0,2,2,1
375,3,0,0,3,2,0,2,2,2
376,3,0,0,3,2,0,2,2,2
377,0,0,0,0,2,0,2,3,2
378,0,0,0,0,2,0,3,3,2
379,0,0,0,0,2,0,3,3,2
380,0,0,0,0,3,0,3,0,2
381,0,0,0,0,3,0,0,0,2
382,0,0,0,0,3,1,0,0,2
383,0,1,0,0,0,1,0,0,2
384,0,1,0,0,0,1,0,0,2
385,0,1,0,0,0,2,0,0,3
386,0,2,1,0,0,2,0,0,3
387,1,2,1,0,0,2,0,0,3
388,1,2,1,0,0,2,0,0,0
389,1,2,2,0,0,2,0,0,0
390,2,2,2,0,0,2,0,0,0
391,2,2,2,0,0,2,0,0,0
392,2,2,2,0,0,2,0,0,0
393,2,2,2,0,1,2,0,0,0
394,2,2,2,0,1,2,0,0,0
395,2,2,2,0,1,3,0,0,0
396,2,3,2,0,2,3,0,0,0
397,2,3,2,1,2,3,0,0,0
398,2,3,2,1,2,0,0,0,0
399,2,0,3,1,2,0,0,0,0
400,3,0,3,2,2,0,0,1,0
401,3,0,3,2,2,0,1,1,0
402,3,0,0,2,2,0,1,1,0
403,0,0,0,2,2,0,1,2,1
404,0,0,0,2,2,0,2,2,1
405,0,0,0,2,2,0,2,2,1
406,0,0,0,2,3,0,2,2,2
407,0,0,0,2,3,0,2,2,2
408,0,0,0,2,3,1,2,2,2
409,0,1,0,2,0,1,2,2,2
410,0,1,0,3,0,1,2,2,2
411,0,1,0,3,0,2,2,2,2
412,0,2,0,3,0,2,2,2,2
413,0,2,0,0,0,2,2,3,2
414,0,2,0,0,0,2,3,3,2
415,0,2,0,0,0,2,3,3,2
416,0,2,0,0,0,2,3,0,3
417,0,2,0,0,0,2,0,0,3
418,0,2,0,0,0,2,0,0,3
419,0,2,0,0,1,2,0,0,0
420,0,2,0,0,1,2,0,0,0
421,0,2,0,0,1,3,0,0,0
422,0,3,1,0,2,3,0,0,0
423,1,3,1,1,2,3,0,0,0
424,1,3,1,1,2,0,0,0,0
425,1,0,2,1,2,0,0,0,0
426,2,0,2,2,2,0,0,0,0
427,2,0,2,2,2,0,0,0,0
428,2,0,2,2,2,0,0,0,0
429,2,0,2,2,2,0,0,0,0
430,2,0,2,2,2,0,0,0,0
431,2,0,2,2,2,0,0,1,0
432,2,0,2,2,3,0,0,1,0
433,2,0,2,2,3,0,0,1,0
434,2,0,2,2,3,0,0,2,0
435,2,1,2,2,0,0,0,2,0
436,3,1,2,3,0,0,0,2,0
437,3,1,2,3,0,0,0,2,0
438,3,2,2,3,0,0,0,2,0
439,0,2,2,0,0,1,0,2,1
440,0,2,3,0,0,1,0,2,1
441,0,2,3,0,0,1,0,2,1
442,0,2,3,0,0,2,1,2,2
443,0,2,0,0,0,2,1,2,2
444,0,2,0,0,0,2,1,3,2
445,0,2,0,0,1,2,2,3,2
446,0,2,0,0,1,2,2,3,2
447,0,2,0,0,1,2,2,0,2
448,0,3,0,0,2,2,2,0,2
449,0,3,0,0,2,2,2,0,2
450,0,3,0,0,2,2,2,0,2
451,0,0,0,0,2,2,2,0,2
452,0,0,0,0,2,3,2,0,3
453,0,0,0,0,2,3,2,0,3
454,0,0,0,0,2,3,2,0,3
455,0,0,0,0,2,0,3,0,0
456,0,0,0,0,2,0,3,0,0
457,0,0,0,0,2,0,3,0,0
458,0,0,1,0,3,0,0,0,0
459,1,0,1,1,3,0,0,0,0
460,1,0,1,1,3,0,0,0,0
461,1,1,2,1,0,0,0,0,0
462,2,1,2,2,0,0,0,1,0
463,2,1,2,2,0,0,0,1,0
464,2,2,2,2,0,0,0,1,0
465,2,2,2,2,0,0,0,2,1
466,2,2,2,2,0,0,0,2,1
467,2,2,2,2,0,0,0,2,1
468,2,2,2,2,0,0,0,2,2
469,2,2,2,2,0,0,0,2,2
470,2,2,2,2,0,1,0,2,2
471,2,2,3,2,1,1,0,2,2
472,3,2,3,3,1,1,0,2,2
