variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,42,117,159,5.00e-04,32.5,4350,9.14,25.57,11.45,34,-8697.5,-1.29,-3.498,5608,3684,1906,1.151,4203,296.5,102.8,0,0.0,0,0,4,7,126.33,20.74,20.24,0.831,0.831,0,0.0,0.05,0.00177,-1.3671,653001,654000,,,-98077.54,-45526.23,-98077.54,,,,dqn,retraso
vecinos,42,118,160,5.00e-04,32.6,4350,9.06,25.25,11.36,33,-8651.4,-1.282,-3.456,5619,3702,1896,1.119,4202,294.8,102.3,0,0.0,0,0,4,7,126.2,20.57,20.02,0.829,0.84,0,0.0,0.05,0.00184,-1.3667,658620,659619,,,-97095.69,-45193.6,-97095.69,,,,dqn,retraso
vecinos,42,119,161,5.00e-04,32.6,4350,8.89,24.85,11.2,31,-8527.3,-1.265,-3.408,5640,3770,1847,1.073,4201,293.7,102.0,0,0.0,0,0,4,8,125.91,20.21,19.8,0.779,0.866,0,0.0,0.05,0.00165,-1.3656,664260,665259,,,-96110.8,-44598.68,-96110.8,,,,dqn,retraso
vecinos,42,120,162,5.00e-04,33.1,4350,9.35,25.55,11.64,32,-8936.8,-1.319,-3.46,5697,3852,1819,1.124,4203,295.6,102.6,0,0.0,0,0,4,8,126.72,21.22,21.02,0.858,0.824,0,0.0,0.05,0.00191,-1.3839,669957,670956,24.49,8.85,-98545.54,-46674.31,-98545.54,24.49,24.66,24.575,dqn,retraso
vecinos,42,121,163,5.00e-04,30.3,4350,9.15,25.53,11.41,34,-8748.7,-1.291,-3.482,5646,3726,1900,1.15,4197,296.1,102.7,0,0.0,0,0,3,7,126.56,20.75,20.43,0.834,0.831,0,0.0,0.05,0.00187,-1.371,675603,676602,,,-98291.85,-45656.1,-98291.85,,,,dqn,retraso
vecinos,42,122,164,5.00e-04,30.4,4350,8.96,25.32,11.29,35,-8554.9,-1.274,-3.465,5582,3656,1910,1.135,4198,295.7,102.6,0,0.0,0,0,4,8,126.8,21.42,21.25,0.887,0.808,0,0.0,0.05,0.00211,-1.3569,681185,682184,,,-96714.37,-44757.45,-96714.37,,,,dqn,retraso
vecinos,42,123,165,5.00e-04,30.3,4350,9.0,25.05,11.25,32,-8592.8,-1.27,-3.396,5663,3782,1864,1.097,4207,294.4,102.2,0,0.0,0,0,4,7,125.9,20.6,20.32,0.822,0.841,0,0.0,0.05,0.0019,-1.3485,686848,687847,,,-96148.25,-45028.27,-96148.25,,,,dqn,retraso
vecinos,42,124,166,5.00e-04,30.5,4350,9.42,25.67,11.75,33,-9038.9,-1.337,-3.503,5661,3791,1853,1.128,4202,295.8,102.7,0,0.0,0,0,4,8,126.45,20.87,20.74,0.848,0.82,0,0.0,0.05,0.00197,-1.3533,692509,693508,,,-99149.63,-46999.1,-99149.63,,,,dqn,retraso
vecinos,42,125,167,5.00e-04,30.5,4350,9.39,25.71,11.64,33,-8937.9,-1.315,-3.484,5679,3788,1873,1.133,4198,296.1,102.7,0,0.0,0,0,4,7,126.19,20.95,20.57,0.847,0.814,0,0.0,0.05,0.00204,-1.3597,698188,699187,,,-98938.97,-46758.57,-98938.97,,,,dqn,retraso
vecinos,42,126,168,5.00e-04,30.6,4350,9.0,25.18,11.31,29,-8634.8,-1.279,-3.443,5633,3731,1885,1.095,4202,294.9,102.3,0,0.0,0,0,3,8,125.81,20.47,20.55,0.82,0.852,0,0.0,0.05,0.00202,-1.3506,703821,704820,,,-96984.77,-45184.49,-96984.77,,,,dqn,retraso
