variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,14,56,2.35e-04,3.8,1844,29.73,102.88,14.4,43,-11906.3,-15.148,-19.073,626,355,269,4.338,1726,314.4,107.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0022,112.8391,0.5641,0.0,0.0,,
local,42,15,57,2.30e-04,3.9,1844,31.74,116.71,15.29,53,-12712.7,-16.112,-20.245,629,359,269,4.687,1715,332.8,114.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0027,130.7353,0.5644,0.0,0.0,,
local,42,16,58,2.25e-04,3.7,1844,30.16,102.63,14.67,40,-12124.3,-15.484,-19.397,626,361,264,4.222,1724,314.1,107.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0032,114.7176,0.5362,0.001,0.0,,
local,42,17,59,2.20e-04,3.9,1844,30.35,120.09,14.66,41,-12139.7,-15.406,-19.513,622,341,279,4.844,1719,335.6,114.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,108.1695,0.4749,0.0006,0.0,,
local,42,18,60,2.15e-04,3.9,1844,28.8,110.23,13.81,35,-11497.2,-14.462,-18.434,625,338,286,4.623,1717,322.1,110.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0069,94.1237,0.4603,0.0,0.0,,
local,42,19,61,2.10e-04,3.9,1844,31.02,127.42,14.81,42,-12364.8,-15.534,-19.799,626,339,285,5.069,1695,344.5,118.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,111.7494,0.4505,0.0001,0.0,,
local,42,20,62,2.05e-04,3.8,1844,30.79,109.5,14.42,40,-12304.4,-15.135,-19.25,641,352,288,4.517,1687,322.2,110.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.006,95.4073,0.4224,0.0004,0.0,134.22,29.24
local,42,21,63,2.00e-04,4.0,1844,31.33,130.94,14.64,49,-12516.3,-15.376,-19.649,636,335,299,5.252,1681,350.0,119.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0019,100.9295,0.3653,0.0007,0.0089,,
local,42,22,64,1.95e-04,4.1,1844,31.69,134.11,14.9,44,-12577.4,-15.566,-20.022,631,332,297,5.284,1692,353.3,121.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0062,105.0145,0.3202,0.0005,0.0068,,
local,42,23,65,1.90e-04,3.9,1844,28.71,126.24,13.76,32,-11359.6,-14.271,-18.499,619,321,296,5.017,1713,343.3,117.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0061,72.4265,0.2877,0.0,0.0,,
local,42,24,66,1.85e-04,3.9,1844,29.04,124.28,13.85,34,-11537.3,-14.44,-18.647,621,322,298,4.979,1702,341.1,116.7,0,0.0,0,0,0,0,,,,,,0,0.0,0.0031,76.8699,0.2766,0.0,0.0,,
local,42,25,67,1.80e-04,4.0,1844,28.84,125.82,13.75,33,-11503.7,-14.38,-18.486,622,322,298,4.953,1693,341.6,116.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0005,74.0997,0.2865,0.0001,0.0005,,
local,42,26,68,1.75e-04,3.9,1844,28.58,122.74,13.6,30,-11394.4,-14.207,-18.299,623,322,299,4.928,1698,337.9,115.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.0017,70.9884,0.3164,0.0,0.0,,
local,42,27,69,1.70e-04,3.8,1844,27.9,109.57,13.55,34,-11147.2,-14.182,-18.139,615,327,286,4.549,1712,321.1,109.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0116,66.6011,0.321,0.0,0.0,,
local,42,28,70,1.65e-04,4.0,1844,29.53,124.18,13.69,29,-11757.0,-14.303,-18.349,642,339,301,5.016,1683,341.3,116.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0048,66.1903,0.3214,0.0002,0.0013,,
local,42,29,71,1.60e-04,3.8,1844,27.84,113.81,13.23,32,-11082.5,-13.801,-17.71,629,334,293,4.576,1704,325.0,111.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.005,62.5415,0.3575,0.0007,0.0138,,
local,42,30,72,1.55e-04,4.0,1844,29.68,120.6,14.09,40,-11830.6,-14.733,-18.92,626,329,296,4.92,1703,336.7,115.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0022,72.9668,0.3545,0.0002,0.0,134.22,29.24
local,42,31,73,1.50e-04,4.1,1844,28.52,113.33,13.54,40,-11390.7,-14.185,-18.112,630,339,290,4.69,1695,328.3,112.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0067,58.7312,0.305,0.0012,0.0222,,
