variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,48,90,6.50e-05,4.1,1844,29.56,130.41,13.89,32,-11759.2,-14.5,-14.167,627,317,308,5.129,1689,346.9,118.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0047,20.7217,0.1045,0.0,0.0,,
local,42,49,91,6.00e-05,4.2,1844,30.3,138.13,14.32,33,-12026.6,-14.921,-14.524,622,312,308,5.369,1687,356.8,122.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0062,19.5697,0.0966,-0.0002,0.0,,
local,42,50,92,5.50e-05,4.1,1844,28.19,124.97,13.36,35,-11205.7,-13.92,-13.689,622,313,308,4.947,1700,339.9,116.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0054,16.7483,0.0889,0.0,0.0,134.22,29.24
local,42,51,93,5.00e-05,4.0,1844,29.13,130.12,13.82,31,-11552.5,-14.369,-14.025,621,313,306,5.217,1703,346.9,118.7,0,0.0,0,0,0,0,,,,,,0,0.0,0.004,17.4685,0.0804,0.0001,0.0,,
local,42,52,94,4.50e-05,4.0,1844,27.17,121.59,12.85,33,-10770.5,-13.33,-13.11,624,315,308,4.866,1702,336.1,114.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0035,14.0951,0.0782,0.0001,0.0,,
local,42,53,95,4.00e-05,4.0,1844,28.03,127.12,13.31,29,-11097.1,-13.802,-13.554,620,311,308,5.029,1700,343.0,117.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0067,14.1369,0.0765,-0.0,0.0,,
local,42,54,96,3.50e-05,4.1,1844,27.94,129.94,13.27,29,-11107.6,-13.815,-13.5,621,314,306,5.07,1698,346.3,118.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.0048,14.1724,0.0758,-0.0,0.0,,
local,42,55,97,3.00e-05,4.1,1844,28.95,131.34,13.65,31,-11477.4,-14.187,-13.938,624,312,310,5.156,1690,347.6,119.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0046,16.4393,0.0755,-0.0,0.0,,
local,42,56,98,2.50e-05,4.1,1844,28.96,130.63,13.68,31,-11548.0,-14.31,-13.975,624,315,307,5.17,1694,347.5,118.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0015,17.4193,0.0738,0.0001,0.0,,
local,42,57,99,2.00e-05,4.1,1844,29.06,131.68,13.76,32,-11519.2,-14.31,-13.949,622,313,307,5.172,1700,348.0,119.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0032,18.189,0.0703,0.0001,0.0,,
local,42,58,100,1.50e-05,4.1,1844,29.32,137.13,13.81,32,-11633.4,-14.38,-14.047,624,313,310,5.206,1691,355.4,121.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0084,17.4642,0.0688,0.0,0.0,,
local,42,59,101,1.00e-05,4.0,1844,28.04,125.21,13.31,30,-11119.4,-13.83,-13.453,620,311,308,5.02,1697,340.0,116.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0046,13.2518,0.0705,-0.0,0.0,,
local,42,60,102,5.00e-06,4.0,1844,27.41,126.4,13.1,30,-10881.4,-13.619,-13.396,616,309,306,4.972,1698,342.5,117.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0066,13.0386,0.0699,0.0,0.0,134.22,29.24
