variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,34,76,1.35e-04,3.4,1844,30.03,52.11,14.7,69,-13392.1,-17.214,-29.089,704,560,125,1.293,1750,242.8,84.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0057,8.549,0.4952,0.0007,0.0097,,
local,42,35,77,1.30e-04,3.3,1844,22.11,41.27,11.12,51,-9778.7,-12.766,-23.099,688,544,131,1.153,1795,225.4,78.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0017,2.51,0.5309,0.0003,0.0,,
local,42,36,78,1.25e-04,3.3,1844,22.72,42.16,11.57,60,-9970.1,-13.188,-24.025,674,523,138,1.195,1776,227.8,78.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0007,2.4954,0.5545,0.0006,0.0,,
local,42,37,79,1.20e-04,3.3,1844,22.59,45.56,11.69,83,-9838.2,-13.223,-26.136,663,518,137,1.331,1797,231.6,80.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0021,7.5138,0.5888,0.0009,0.0008,,
local,42,38,80,1.15e-04,3.2,1844,17.27,35.58,8.93,49,-7483.1,-9.925,-19.984,665,508,150,1.093,1786,217.0,74.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,1.728,0.6138,0.0003,0.0,,
local,42,39,81,1.10e-04,3.2,1844,14.68,31.57,7.83,41,-6361.8,-8.62,-18.093,643,477,160,1.021,1781,210.7,72.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.002,1.0153,0.6031,0.0007,0.0,,
local,42,40,82,1.05e-04,3.3,1844,26.0,49.6,13.06,65,-11159.6,-14.645,-28.0,675,526,147,1.514,1766,240.3,83.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,4.4056,0.5716,0.0005,0.0,36.43,21.53
local,42,41,83,1.00e-04,3.1,1844,17.51,34.59,9.28,37,-7657.6,-10.418,-19.861,654,515,136,1.013,1794,216.1,74.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0035,1.0616,0.5407,0.0006,0.0,,
local,42,42,84,9.50e-05,3.1,1844,22.4,41.69,11.64,72,-9888.4,-13.363,-23.963,668,534,123,1.125,1802,226.9,78.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.0048,3.4896,0.5144,0.0001,0.0,,
local,42,43,85,9.00e-05,3.1,1844,14.95,29.93,7.95,47,-6694.4,-9.047,-16.83,667,536,123,0.8,1806,206.6,71.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,1.3087,0.5318,0.0006,0.0,,
local,42,44,86,8.50e-05,3.2,1844,24.35,46.86,12.68,48,-10548.6,-14.313,-27.077,659,520,131,1.362,1800,235.6,81.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0011,4.9115,0.5716,0.0008,0.0,,
local,42,45,87,8.00e-05,3.2,1844,18.35,36.25,9.64,49,-7996.1,-10.805,-20.712,657,514,139,1.069,1797,218.4,75.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0001,1.4266,0.5718,0.0,0.0,,
local,42,46,88,7.50e-05,3.1,1844,15.25,31.02,8.1,46,-6688.4,-9.051,-17.595,657,510,139,0.89,1798,208.4,71.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0033,1.1374,0.5718,0.0,0.0,,
local,42,47,89,7.00e-05,3.2,1844,15.93,33.48,8.47,41,-6933.9,-9.421,-19.004,653,507,140,1.014,1808,213.0,73.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.0009,1.6729,0.5716,0.0001,0.0,,
local,42,48,90,6.50e-05,3.2,1844,17.03,34.17,8.83,57,-7470.4,-9.934,-19.267,666,517,145,1.012,1772,214.4,74.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.0034,1.4714,0.5615,0.0001,0.0,,
local,42,49,91,6.00e-05,3.1,1844,17.18,33.61,9.0,42,-7554.9,-10.154,-19.141,665,521,134,0.964,1805,213.6,73.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0008,1.1718,0.5594,0.0,0.0,,
local,42,50,92,5.50e-05,3.2,1844,18.67,37.79,9.87,45,-8095.3,-11.014,-21.69,654,511,137,1.157,1800,220.6,76.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0034,1.7816,0.5583,0.0,0.0,36.43,21.53
local,42,51,93,5.00e-05,3.3,1844,24.76,50.48,12.65,63,-10634.3,-14.16,-28.915,664,508,146,1.634,1776,240.9,83.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0014,4.9249,0.563,0.0001,0.0,,
local,42,52,94,4.50e-05,3.1,1844,14.48,30.06,7.75,43,-6370.7,-8.656,-17.107,654,507,139,0.873,1808,207.1,71.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0047,1.2574,0.539,0.0003,0.0,,
local,42,53,95,4.00e-05,3.1,1844,15.61,31.74,8.27,43,-6875.2,-9.291,-17.894,665,529,126,0.903,1805,209.6,72.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0077,1.5974,0.5314,0.0,0.0,,
local,42,54,96,3.50e-05,3.3,1844,18.77,35.25,9.79,57,-8350.9,-11.224,-20.085,673,540,120,0.92,1808,215.1,74.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,1.9085,0.5301,0.0,0.0,,
local,42,55,97,3.00e-05,3.3,1844,14.54,29.68,7.77,39,-6437.4,-8.746,-16.787,661,525,127,0.834,1806,205.8,71.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.0029,1.0787,0.5235,0.0001,0.0,,
local,42,56,98,2.50e-05,3.4,1844,15.37,31.13,8.23,42,-6773.8,-9.241,-17.674,657,520,128,0.863,1810,208.9,72.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0077,1.1502,0.5324,0.0001,0.0,,
local,42,57,99,2.00e-05,3.4,1844,12.09,26.25,6.53,36,-5377.3,-7.276,-14.52,664,532,127,0.748,1807,200.1,69.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,0.8035,0.5424,0.0001,0.0,,
local,42,58,100,1.50e-05,3.4,1844,12.97,27.88,6.99,37,-5746.4,-7.797,-15.301,664,532,123,0.767,1803,203.8,70.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0002,0.7545,0.5532,0.0,0.0,,
local,42,59,101,1.00e-05,3.3,1844,12.03,26.03,6.47,36,-5352.5,-7.214,-14.433,665,527,130,0.728,1788,199.6,68.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.004,0.7369,0.5556,0.0,0.0,,
local,42,60,102,5.00e-06,3.5,1844,11.27,25.77,6.13,31,-4989.6,-6.761,-14.184,657,512,137,0.754,1806,199.8,68.7,0,0.0,0,0,0,0,,,,,,0,0.0,0.007,0.6645,0.5563,0.0,0.0,36.43,21.53
