variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val,algoritmo,recompensa_tipo
vecinos,42,39,81,5.00e-04,6.1,1844,4.22,15.81,2.61,12,-1984.4,-2.689,-8.688,614,405,207,0.517,1806,181.3,62.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01269,-2.82,23576,24575,,,-26671.47,-10142.95,-26671.47,,,dqn,retraso
vecinos,42,40,82,5.00e-04,7.6,1844,4.31,15.99,2.66,12,-2062.1,-2.802,-8.68,621,424,193,0.488,1806,181.1,62.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01288,-2.8396,24197,25196,16.52,5.94,-26951.1,-10456.86,-26951.1,16.52,16.52,dqn,retraso
vecinos,42,41,83,5.00e-04,6.6,1844,5.18,15.53,3.09,13,-2503.2,-3.396,-8.364,658,510,133,0.387,1805,177.7,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01313,-2.871,24855,25854,,,-27516.53,-12686.83,-27516.53,,,dqn,retraso
vecinos,42,42,84,5.00e-04,6.2,1844,4.07,15.35,2.54,11,-1952.1,-2.66,-8.319,624,435,184,0.459,1808,179.7,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01285,-2.8701,25479,26478,,,-25955.0,-9945.58,-25955.0,,,dqn,retraso
vecinos,42,43,85,5.00e-04,6.5,1844,4.03,15.28,2.52,12,-1934.6,-2.629,-8.335,622,428,191,0.475,1807,179.1,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.0127,-2.871,26101,27100,,,-25920.6,-9819.45,-25920.6,,,dqn,retraso
vecinos,42,44,86,5.00e-04,7.8,1844,4.94,15.93,2.97,11,-2347.4,-3.189,-8.533,648,486,149,0.421,1807,179.2,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01281,-2.8987,26749,27748,,,-27646.82,-12005.42,-27646.82,,,dqn,retraso
vecinos,42,45,87,5.00e-04,8.0,1844,4.87,15.53,2.94,13,-2357.8,-3.208,-8.349,651,493,141,0.397,1805,178.0,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01239,-2.8752,27400,28399,,,-27174.84,-11934.75,-27174.84,,,dqn,retraso
vecinos,42,46,88,5.00e-04,6.4,1844,4.87,15.46,2.94,11,-2365.1,-3.214,-8.246,652,499,141,0.396,1810,177.8,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01243,-2.8637,28052,29051,,,-26882.49,-11912.81,-26882.49,,,dqn,retraso
vecinos,42,47,89,5.00e-04,7.8,1844,4.73,15.62,2.87,11,-2275.9,-3.092,-8.321,647,486,151,0.418,1806,178.4,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01243,-2.8829,28699,29698,,,-26919.95,-11583.6,-26919.95,,,dqn,retraso
vecinos,42,48,90,5.00e-04,6.4,1844,4.93,16.22,2.97,11,-2361.5,-3.204,-8.878,634,449,174,0.468,1807,180.3,61.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01226,-2.8991,29333,30332,,,-28144.76,-11949.07,-28144.76,,,dqn,retraso
