variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,4042,143,4185,2.90e-04,7.6,1810,7.3,20.87,3.98,13,-2922.6,-1.972,-5.736,1256,874,379,0.776,1771,218.3,75.2,0,0.0,0,0,7,11,104.19,21.24,22.31,0.765,0.931,0,0.0,0.0015,0.0233,0.1374,0.0026,0.0299,,
local,4042,144,4186,2.85e-04,7.3,1810,7.48,21.53,4.06,16,-2988.0,-2.022,-5.859,1258,886,370,0.798,1765,219.9,75.7,0,0.0,0,0,7,14,105.03,22.21,23.43,0.818,0.871,0,0.0,0.0019,0.0261,0.1276,0.0018,0.0205,,
local,4042,145,4187,2.80e-04,8.7,1810,7.09,21.03,3.9,15,-2836.9,-1.919,-5.731,1256,880,373,0.764,1768,219.2,75.4,0,0.0,0,0,8,14,104.03,21.45,23.04,0.749,0.906,0,0.0,0.0013,0.0298,0.1374,0.0011,0.0158,,
local,4042,146,4188,2.75e-04,9.0,1810,7.22,20.99,3.93,15,-2886.9,-1.953,-5.72,1256,880,373,0.776,1769,218.9,75.4,0,0.0,0,0,6,10,104.24,21.29,22.48,0.767,0.894,0,0.0,-0.0003,0.0252,0.1456,0.0039,0.0391,,
local,4042,147,4189,2.70e-04,9.5,1810,7.39,21.68,3.99,15,-2952.7,-1.976,-5.878,1269,887,379,0.799,1771,220.3,75.8,0,0.0,0,0,7,12,105.76,22.67,24.38,0.812,0.878,0,0.0,-0.001,0.0289,0.1434,0.0032,0.0321,,
local,4042,148,4190,2.65e-04,8.1,1810,7.3,21.47,3.95,16,-2920.7,-1.952,-5.824,1267,875,387,0.783,1768,219.9,75.7,0,0.0,0,0,8,13,105.52,22.39,23.54,0.795,0.892,0,0.0,0.0008,0.0256,0.167,0.002,0.0237,,
local,4042,149,4191,2.60e-04,7.1,1810,7.25,21.32,3.92,16,-2894.7,-1.932,-5.787,1265,869,391,0.804,1769,219.9,75.7,0,0.0,0,0,7,12,105.37,22.21,23.94,0.844,0.864,0,0.0,-0.0013,0.0272,0.1899,0.0061,0.0397,,
local,4042,150,4192,2.55e-04,7.5,1810,8.19,22.65,4.35,18,-3251.8,-2.179,-6.185,1268,884,378,0.843,1766,222.5,76.6,0,0.0,0,0,14,14,108.38,25.19,26.81,0.938,0.822,0,0.0,-0.0014,0.027,0.1963,0.003,0.033,20.58,6.95
local,4042,151,4193,2.50e-04,8.3,1810,21.3,40.08,10.16,60,-9290.9,-5.918,-11.33,1359,975,358,1.183,1718,250.4,87.1,0,0.0042,35,4,38,38,137.81,55.0,66.86,1.506,0.731,0,0.0,-0.0021,0.3735,0.1454,0.0026,0.0228,,
local,4042,152,4194,2.45e-04,7.2,1810,8.05,22.23,4.29,18,-3196.3,-2.148,-6.092,1261,871,384,0.827,1766,221.7,76.4,0,0.0,0,0,14,15,106.79,24.1,25.41,0.884,0.853,0,0.0,-0.0011,0.0495,0.1794,0.0021,0.0222,,
local,4042,153,4195,2.40e-04,8.0,1810,7.63,21.75,4.15,16,-3060.6,-2.071,-5.956,1260,888,369,0.806,1767,220.5,75.9,0,0.0,0,0,7,11,105.71,22.69,24.42,0.84,0.884,0,0.0,-0.0,0.0375,0.1577,0.0026,0.0273,,
