modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,46,88,0.159,1884,15.12,27.1,7.31,20,-4523.4,-7.615,594,255,0.908,1845,199.3,69.1,383,5.0116,,
train,47,89,0.153,1884,15.86,28.02,7.57,28,-4850.0,-7.938,611,247,0.919,1844,200.3,69.5,383,5.6186,,
train,48,90,0.147,1884,15.61,27.67,7.58,24,-4643.8,-7.831,593,254,0.921,1840,199.7,69.3,383,6.2376,,
train,49,91,0.141,1884,16.27,28.56,7.98,34,-4851.1,-8.25,588,254,0.938,1844,201.4,69.9,383,7.0801,,
train,50,92,0.135,1884,15.66,27.64,7.59,24,-4723.2,-7.912,597,248,0.904,1835,199.7,69.3,383,6.7536,31.86,18.33
train,51,93,0.13,1884,14.81,26.6,7.2,26,-4448.4,-7.489,594,247,0.879,1843,197.8,68.6,383,5.715,,
train,52,94,0.125,1884,16.24,28.53,7.99,27,-4914.9,-8.316,591,246,0.934,1842,201.3,69.9,383,5.1781,,
train,53,95,0.12,1884,16.29,28.74,8.04,30,-4911.0,-8.352,588,252,0.946,1846,201.5,69.9,384,5.7511,,
train,54,96,0.115,1884,14.45,26.04,7.12,20,-4351.3,-7.338,593,239,0.849,1839,196.9,68.2,384,5.3636,,
train,55,97,0.11,1884,15.23,27.12,7.46,27,-4607.1,-7.769,593,248,0.906,1845,198.8,68.9,384,5.5136,41.41,25.34
train,56,98,0.106,1884,14.46,26.14,7.02,21,-4369.0,-7.306,598,244,0.869,1841,197.3,68.4,385,6.2256,,
train,57,99,0.102,1884,14.69,26.34,7.17,22,-4391.2,-7.368,596,241,0.876,1844,197.5,68.5,385,5.4781,,
train,58,100,0.098,1884,16.01,28.5,7.85,27,-4698.5,-8.059,583,267,0.952,1832,201.5,69.9,385,4.7343,,
train,59,101,0.094,1884,16.18,28.46,7.93,28,-5007.5,-8.402,596,251,0.927,1841,201.3,69.9,385,6.6914,,
train,60,102,0.09,1884,15.84,28.06,7.75,25,-4759.0,-8.094,588,262,0.935,1836,200.6,69.6,385,5.6293,35.79,21.54
train,61,103,0.086,1884,15.98,28.28,7.89,24,-4797.8,-8.215,584,259,0.941,1839,201.1,69.8,385,5.0496,,
