modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,14,56,0.254,1844,7.51,22.11,4.24,22,-3283.9,-4.438,607,222,0.861,1797,193.5,66.1,124,2.6595,,
train,15,57,0.229,1844,7.45,22.18,4.23,18,-3252.0,-4.412,601,227,0.886,1801,194.3,66.4,124,2.9287,20.13,6.28
train,16,58,0.206,1844,6.4,20.03,3.71,18,-2857.9,-3.883,607,216,0.739,1807,190.0,64.9,125,3.0225,,
train,17,59,0.185,1844,7.77,22.28,4.4,18,-3402.3,-4.629,606,215,0.881,1809,194.0,66.4,125,2.6595,,
train,18,60,0.167,1844,7.36,21.78,4.2,18,-3220.0,-4.387,601,223,0.85,1804,193.1,66.0,125,3.0087,,
train,19,61,0.15,1844,9.15,26.04,5.08,27,-3915.1,-5.312,604,222,1.068,1795,200.4,68.5,126,3.3788,,
train,20,62,0.135,1844,7.59,22.1,4.31,18,-3295.9,-4.484,598,229,0.884,1803,193.9,66.2,126,2.951,39.18,12.66
train,21,63,0.122,1844,6.07,19.6,3.55,17,-2707.6,-3.689,601,223,0.745,1805,189.0,64.6,126,3.0211,,
train,22,64,0.109,1844,7.21,21.73,4.11,19,-3134.2,-4.258,601,225,0.857,1800,192.9,65.9,127,2.7639,,
train,23,65,0.098,1844,6.71,20.76,3.86,18,-2943.8,-3.994,602,225,0.803,1808,191.3,65.3,127,2.6656,,
train,24,66,0.089,1844,7.42,22.09,4.21,22,-3222.7,-4.367,607,219,0.851,1808,193.7,66.2,127,2.8529,,
train,25,67,0.08,1844,6.24,19.42,3.62,17,-2761.2,-3.752,609,213,0.725,1800,188.4,64.4,127,3.1338,20.5,6.56
train,26,68,0.072,1844,9.91,27.84,5.45,25,-4199.7,-5.691,600,230,1.183,1806,204.2,69.8,127,3.2977,,
train,27,69,0.065,1844,8.57,24.92,4.79,23,-3694.2,-5.026,602,223,1.001,1804,198.2,67.7,128,3.2185,,
train,28,70,0.058,1844,7.22,21.84,4.12,18,-3160.4,-4.294,594,237,0.861,1800,193.9,66.2,128,2.6298,,
train,29,71,0.052,1844,8.8,25.07,4.92,23,-3784.5,-5.149,598,229,1.031,1806,199.4,68.1,129,3.4806,,
train,30,72,0.05,1844,5.31,17.8,3.16,18,-2427.4,-3.298,607,215,0.637,1806,185.3,63.4,129,2.1357,19.62,6.18
train,31,73,0.05,1844,6.86,20.97,3.93,18,-3037.4,-4.121,602,226,0.805,1807,191.6,65.5,129,2.509,,
train,32,74,0.05,1844,6.73,20.66,3.83,20,-2962.5,-3.982,607,229,0.815,1804,191.0,65.3,129,2.8034,,
train,33,75,0.05,1844,6.73,20.62,3.87,16,-2961.8,-4.024,603,223,0.816,1804,190.7,65.2,130,3.3779,,
train,34,76,0.05,1844,6.02,19.42,3.52,18,-2698.6,-3.672,602,223,0.738,1806,188.5,64.4,130,2.1553,,
train,35,77,0.05,1844,6.23,19.66,3.62,19,-2765.8,-3.758,605,219,0.741,1809,189.1,64.6,130,1.8813,20.02,6.36
train,36,78,0.05,1844,8.57,24.66,4.8,21,-3693.0,-5.018,600,227,1.026,1805,197.9,67.7,130,2.8428,,
train,37,79,0.05,1844,6.17,19.62,3.6,17,-2741.7,-3.73,605,217,0.738,1805,188.8,64.5,130,3.088,,
train,38,80,0.05,1844,7.92,23.06,4.47,22,-3414.7,-4.639,601,225,0.936,1802,195.4,66.8,130,2.963,,
train,39,81,0.05,1844,6.33,19.87,3.67,16,-2805.7,-3.807,600,229,0.782,1804,190.0,64.9,130,2.6159,,
train,40,82,0.05,1844,7.13,21.65,4.07,19,-3110.8,-4.227,603,223,0.844,1805,193.0,65.9,130,2.493,21.39,7.05
baseline,0,42,0,1844,9.3,22.83,5.16,17,-4110.9,-5.585,736,131,0.666,1801,195.6,67.1,,0.0,,
actuado,0,42,0,1844,3.64,15.34,2.33,10,-1764.8,-2.398,736,204,0.491,1807,180.3,61.6,,0.0,,
