verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
15,,10,0/25/25,24.8,7.08,1.05,2091.33,265.8,0.4,2001-2003
25,,20,0/20/0,24.81,8.46,0.72,2092.33,260.27,0.2,2001-2003
20,,10,0/23/23,24.84,8.16,0.98,2090.33,262.27,0.19,2001-2003
30,,15,0/30/9,24.9,8.75,0.74,2091.0,259.73,0.18,2001-2003
20,,20,0/30/0,24.91,8.21,0.78,2094.33,261.53,0.34,2001-2003
15,,10,0/23/23,24.94,7.35,1.01,2090.0,265.43,0.44,2001-2003
25,,15,0/30/14,24.97,8.36,0.82,2093.67,261.6,0.29,2001-2003
20,,20,0/15/0,24.98,8.8,0.78,2093.33,260.07,0.23,2001-2003
15,,10,0/5/10,25.0,7.51,1.04,2092.33,265.87,0.24,2001-2003
15,,10,0/20/9,25.06,8.62,0.99,2089.33,261.37,0.34,2001-2003
20,,10,0/10/10,25.06,8.08,0.96,2091.0,264.37,0.19,2001-2003
15,,10,0/10/0,25.07,8.78,1.0,2091.67,261.77,0.29,2001-2003
30,,10,0/35/0,25.11,9.08,0.86,2091.0,260.13,0.06,2001-2003
20,,10,0/15/15,25.16,8.39,0.9,2093.0,263.4,0.2,2001-2003
25,,10,0/30/19,25.19,8.35,0.91,2090.0,263.33,0.23,2001-2003
15,,10,0/15/0,25.23,8.95,1.04,2091.33,262.1,0.27,2001-2003
30,,10,0/0/0,25.23,9.45,0.82,2088.0,259.9,0.51,2001-2003
30,,10,0/15/30,25.32,8.9,0.85,2089.67,261.13,0.41,2001-2003
15,,10,0/15/30,25.33,8.98,1.04,2091.0,262.23,0.26,2001-2003
30,,20,0/30/4,25.33,8.32,0.71,2091.67,263.33,0.16,2001-2003
15,,10,0/25/0,25.34,8.29,1.05,2092.0,264.33,0.37,2001-2003
15,,20,0/20/0,25.34,9.69,0.76,2091.33,258.5,0.81,2001-2003
15,,20,0/23/0,25.35,9.64,0.77,2091.33,258.87,0.51,2001-2003
30,,10,0/10/0,25.35,9.22,0.84,2086.33,261.03,0.22,2001-2003
15,,20,0/20/40,25.36,9.71,0.77,2091.67,258.5,0.73,2001-2003
15,,10,0/23/0,25.4,8.37,1.05,2091.67,263.67,0.37,2001-2003
15,,10,0/23/15,25.42,8.58,1.03,2090.33,263.47,0.24,2001-2003
15,,15,0/23/10,25.44,9.26,0.89,2091.0,261.03,0.13,2001-2003
25,,20,0/30/9,25.44,8.55,0.76,2090.67,262.13,0.38,2001-2003
30,,15,0/20/40,25.47,8.79,0.8,2092.33,261.27,0.12,2001-2003
15,,15,0/20/4,25.49,9.68,0.89,2090.0,260.27,0.13,2001-2003
15,,15,0/20/0,25.54,9.56,0.9,2092.33,260.07,0.46,2001-2003
15,,15,0/20/20,25.59,8.3,1.03,2091.33,264.2,0.19,2001-2003
15,,10,0/10/20,25.61,8.9,1.03,2094.0,262.9,0.56,2001-2003
20,,15,0/30/0,25.61,8.81,0.89,2090.67,263.77,0.17,2001-2003
15,,20,0/25/0,25.69,9.82,0.78,2090.67,260.1,0.42,2001-2003
25,,10,0/25/25,25.71,9.39,0.92,2086.67,262.43,0.51,2001-2003
25,,10,0/15/15,25.74,9.08,0.93,2094.33,263.37,0.14,2001-2003
15,,10,0/20/0,25.8,8.98,1.07,2091.33,263.77,0.27,2001-2003
30,,15,0/35/0,25.84,9.41,0.87,2089.67,261.53,0.12,2001-2003
15,,20,0/23/5,25.86,10.04,0.78,2087.67,259.9,0.67,2001-2003
20,,15,0/10/0,25.88,9.03,0.91,2091.33,263.23,0.38,2001-2003
30,,10,0/15/15,25.89,9.64,0.91,2090.67,262.2,0.27,2001-2003
25,,10,0/23/23,25.91,9.54,0.93,2087.67,262.83,0.32,2001-2003
25,,10,0/10/20,25.92,8.55,0.99,2091.0,265.1,0.36,2001-2003
30,,20,0/25/0,25.94,9.03,0.8,2090.67,262.97,0.1,2001-2003
20,,10,0/25/25,25.96,8.99,1.01,2087.33,265.3,0.28,2001-2003
25,,15,0/35/0,25.97,9.23,0.95,2095.0,263.27,0.33,2001-2003
15,,20,0/15/0,26.03,10.3,0.79,2091.67,260.73,0.52,2001-2003
25,,10,0/35/0,26.09,9.42,1.02,2092.67,264.1,0.31,2001-2003
25,,15,0/10/0,26.1,9.37,0.88,2090.0,263.57,0.21,2001-2003
15,,15,0/15/0,26.12,10.11,0.92,2091.67,261.63,0.32,2001-2003
30,,20,0/23/0,26.12,9.1,0.82,2091.0,263.0,0.27,2001-2003
30,,10,0/10/10,26.16,9.67,0.94,2086.0,262.77,0.28,2001-2003
30,,20,0/25/50,26.16,8.97,0.77,2089.0,263.8,0.05,2001-2003
25,,20,0/20/40,26.17,8.9,0.83,2092.0,263.7,0.18,2001-2003
25,,10,0/5/0,26.18,9.24,0.99,2092.33,264.07,0.29,2001-2003
30,,10,0/5/0,26.28,9.85,0.86,2087.0,263.07,0.15,2001-2003
30,,15,0/25/25,26.28,10.66,0.83,2089.33,261.27,0.28,2001-2003
25,,10,0/20/20,26.32,9.67,0.96,2089.33,263.93,0.34,2001-2003
30,,10,0/5/5,26.32,9.81,0.87,2086.67,262.77,0.1,2001-2003
25,,15,0/15/30,26.33,9.05,0.9,2091.0,264.7,0.16,2001-2003
15,,15,0/15/30,26.44,10.18,0.92,2094.0,261.97,0.4,2001-2003
15,,15,0/23/0,26.45,10.0,0.95,2091.33,262.73,0.56,2001-2003
20,,10,0/30/24,26.45,8.4,1.0,2088.67,268.3,0.5,2001-2003
30,,20,0/35/0,26.47,9.7,0.88,2092.33,262.93,0.09,2001-2003
30,,20,0/23/46,26.48,9.17,0.87,2088.33,263.3,0.26,2001-2003
30,,15,0/15/0,26.49,9.71,0.85,2092.33,263.93,0.21,2001-2003
20,,15,0/30/19,26.5,8.89,0.97,2090.67,267.17,0.45,2001-2003
15,,15,0/25/0,26.54,10.05,0.97,2091.33,263.57,0.24,2001-2003
20,,10,0/30/0,26.65,9.0,1.04,2091.33,267.9,0.44,2001-2003
30,,10,0/30/30,26.68,10.2,0.92,2090.67,263.93,0.38,2001-2003
25,,20,0/35/0,26.72,9.54,0.94,2088.0,264.27,0.24,2001-2003
25,,10,0/35/29,26.73,9.22,1.1,2092.0,267.07,0.34,2001-2003
30,,15,0/23/23,26.75,10.69,0.85,2089.0,262.77,0.45,2001-2003
30,,10,0/35/35,26.76,10.35,0.99,2090.33,264.33,0.3,2001-2003
25,,10,0/30/30,26.84,9.68,1.01,2089.67,266.13,0.61,2001-2003
25,,10,0/10/10,26.89,9.13,0.99,2091.0,267.5,0.27,2001-2003
25,,20,0/15/0,27.04,9.75,0.86,2091.0,265.7,0.03,2001-2003
15,,20,0/25/9,27.07,10.84,0.84,2087.67,263.87,0.28,2001-2003
30,,10,0/40/0,27.12,10.67,0.93,2090.0,264.4,0.24,2001-2003
30,,10,0/35/24,27.14,10.21,1.04,2090.67,265.53,0.16,2001-2003
15,,15,0/15/15,27.19,9.41,1.1,2091.33,267.87,0.11,2001-2003
30,,10,0/40/40,27.26,10.72,0.97,2094.0,265.3,0.33,2001-2003
20,,20,0/30/14,27.27,9.59,0.88,2090.67,267.07,0.45,2001-2003
15,,15,0/23/23,27.36,9.49,1.15,2091.0,268.47,0.13,2001-2003
20,,10,0/30/30,27.37,9.03,1.17,2089.0,270.47,0.23,2001-2003
15,,15,0/10/0,27.41,10.64,0.97,2091.0,266.53,0.32,2001-2003
30,,15,0/35/19,27.46,10.35,1.01,2090.67,265.73,0.03,2001-2003
20,,10,0/5/0,27.51,8.91,1.1,2091.0,270.87,0.43,2001-2003
30,,20,0/20/0,27.53,9.99,0.92,2089.67,265.77,0.17,2001-2003
20,,15,0/20/20,27.58,10.24,1.05,2092.33,266.9,0.23,2001-2003
20,,15,0/15/15,27.62,10.03,1.05,2091.0,268.67,0.19,2001-2003
30,,15,0/20/20,27.65,11.11,0.93,2093.67,264.97,0.37,2001-2003
30,,20,0/35/14,27.72,10.33,0.97,2090.33,265.83,0.32,2001-2003
25,,10,0/5/10,27.74,9.71,1.1,2089.67,269.23,0.17,2001-2003
20,,15,0/23/23,27.86,10.49,1.05,2091.33,267.23,0.23,2001-2003
15,,15,0/25/14,27.88,10.76,0.99,2086.67,267.5,0.12,2001-2003
30,,15,0/40/0,27.97,11.07,0.94,2090.0,266.03,0.24,2001-2003
30,,15,0/30/30,28.03,11.39,0.92,2087.0,265.9,0.25,2001-2003
20,,10,0/5/10,28.04,9.23,1.16,2091.0,272.43,0.34,2001-2003
20,,15,0/10/20,28.04,9.7,1.06,2091.33,270.4,0.06,2001-2003
20,,10,0/5/5,28.07,8.96,1.21,2089.67,273.13,0.17,2001-2003
30,,10,0/10/20,28.12,10.52,1.07,2085.0,267.93,0.02,2001-2003
30,,20,0/20/40,28.3,10.64,0.98,2086.33,266.77,0.17,2001-2003
20,,15,0/25/25,28.35,10.95,1.05,2088.33,268.37,0.29,2001-2003
30,,10,0/5/10,28.39,10.94,1.03,2084.0,267.97,0.31,2001-2003
25,,10,0/5/5,28.44,10.35,1.09,2089.33,270.13,0.08,2001-2003
25,,10,0/35/35,28.44,10.87,1.12,2092.33,269.77,0.7,2001-2003
30,,15,0/15/30,28.45,10.95,1.02,2089.67,267.57,0.16,2001-2003
30,,20,0/40/0,28.51,11.28,0.93,2091.0,267.1,0.16,2001-2003
25,,15,0/23/23,28.54,11.6,0.98,2090.67,266.83,0.25,2001-2003
15,,15,0/10/20,28.6,11.01,0.99,2093.0,270.57,0.33,2001-2003
30,,15,0/10/0,28.66,10.99,0.95,2090.67,269.13,0.12,2001-2003
25,,20,0/35/19,28.68,10.8,1.09,2089.67,268.93,0.09,2001-2003
15,,15,0/10/10,28.73,10.2,1.19,2090.67,272.9,0.21,2001-2003
20,,20,0/15/30,28.84,10.74,0.98,2089.33,270.4,0.19,2001-2003
25,,15,0/25/25,28.88,11.85,0.99,2089.67,268.17,0.07,2001-2003
15,,20,0/20/20,28.96,11.23,1.09,2090.33,269.4,0.19,2001-2003
25,,15,0/20/20,29.07,11.78,1.02,2090.33,269.03,0.34,2001-2003
15,,15,0/25/25,29.16,10.84,1.25,2087.67,272.43,0.19,2001-2003
30,,15,0/0/0,29.21,12.03,1.0,2091.67,269.07,0.21,2001-2003
15,,20,0/15/30,29.22,12.05,0.89,2090.0,269.77,0.33,2001-2003
30,,20,0/30/30,29.44,12.66,0.91,2091.67,268.5,0.34,2001-2003
15,,20,0/23/23,29.47,11.64,1.1,2090.33,270.27,0.1,2001-2003
30,,10,0/40/34,29.47,11.86,1.14,2090.33,271.2,0.23,2001-2003
30,,15,0/15/15,29.56,12.25,1.06,2091.33,269.17,0.34,2001-2003
20,,10,0/35/34,29.64,10.14,1.37,2089.67,276.57,0.2,2001-2003
30,,15,0/5/0,29.65,11.71,1.01,2090.33,270.93,0.16,2001-2003
30,,15,0/5/5,29.7,11.9,1.02,2089.67,270.43,0.12,2001-2003
30,,20,0/25/25,29.75,12.8,0.93,2086.67,268.63,0.47,2001-2003
25,,15,0/35/24,29.77,11.27,1.21,2088.33,272.63,0.38,2001-2003
20,,10,0/35/35,29.85,10.28,1.37,2090.0,276.97,0.35,2001-2003
25,,20,0/40/0,29.88,12.26,1.05,2089.67,270.4,0.19,2001-2003
30,,20,0/15/0,29.88,11.62,1.02,2088.0,271.23,0.17,2001-2003
30,,15,0/10/10,29.91,12.11,1.06,2090.67,270.5,0.14,2001-2003
20,,10,0/0/0,29.94,10.38,1.36,2090.33,277.27,0.33,2001-2003
20,,10,0/35/0,29.94,10.46,1.36,2090.33,276.97,0.29,2001-2003
15,,15,0/5/5,29.97,10.13,1.38,2088.0,277.4,0.25,2001-2003
20,,20,0/35/0,29.99,12.0,1.13,2092.0,272.1,0.22,2001-2003
25,,20,0/10/0,30.04,11.68,1.02,2089.33,272.53,0.07,2001-2003
15,,15,0/30/30,30.07,10.43,1.32,2088.0,276.77,0.29,2001-2003
30,,15,0/35/35,30.07,12.65,1.06,2085.67,270.47,0.03,2001-2003
25,,15,0/10/20,30.1,11.64,1.2,2086.33,273.07,0.32,2001-2003
25,,15,0/15/15,30.13,11.59,1.11,2087.67,273.1,0.41,2001-2003
30,,15,0/40/40,30.14,12.91,1.09,2090.67,270.73,0.25,2001-2003
20,,15,0/30/30,30.17,11.82,1.18,2087.0,274.33,0.33,2001-2003
15,,15,0/5/0,30.2,10.34,1.32,2089.33,278.13,0.09,2001-2003
30,,20,0/23/23,30.21,13.01,0.98,2085.67,269.33,0.3,2001-2003
25,,15,0/40/0,30.26,12.63,1.14,2094.67,272.17,0.17,2001-2003
25,,15,0/30/30,30.37,12.44,1.08,2090.33,272.7,0.48,2001-2003
25,,20,0/15/30,30.39,12.04,1.11,2088.0,272.1,0.29,2001-2003
15,,15,0/5/10,30.42,10.68,1.3,2088.67,278.07,0.27,2001-2003
15,,15,0/35/35,30.47,10.35,1.47,2089.0,278.9,0.15,2001-2003
15,,15,0/35/34,30.52,10.32,1.46,2088.33,279.07,0.24,2001-2003
25,,15,0/5/0,30.56,12.0,1.09,2089.0,273.87,0.24,2001-2003
15,,15,0/30/24,30.58,10.95,1.23,2087.33,278.23,0.4,2001-2003
15,,20,0/25/25,30.58,12.65,1.14,2090.67,272.67,0.11,2001-2003
20,,20,0/10/0,30.59,12.18,1.07,2088.0,273.43,0.31,2001-2003
15,,15,0/0/0,30.68,10.48,1.5,2089.0,279.3,0.2,2001-2003
20,,15,0/10/10,30.68,11.28,1.22,2087.67,277.07,0.07,2001-2003
15,,15,0/30/0,30.71,11.18,1.25,2089.33,277.93,0.08,2001-2003
25,,10,0/0/0,30.73,12.08,1.21,2088.67,275.03,0.24,2001-2003
15,,15,0/35/0,30.75,10.56,1.48,2089.67,279.37,0.12,2001-2003
30,,20,0/40/24,30.8,12.97,1.1,2089.67,271.83,0.23,2001-2003
15,,20,0/15/15,30.97,12.57,1.16,2090.0,274.97,0.19,2001-2003
25,,15,0/35/35,31.08,12.95,1.18,2090.33,274.33,0.28,2001-2003
25,,15,0/40/34,31.08,12.63,1.26,2090.33,275.17,0.19,2001-2003
20,,20,0/23/23,31.1,13.41,1.07,2088.0,272.37,0.09,2001-2003
25,,10,0/40/40,31.11,12.43,1.24,2089.33,275.7,0.32,2001-2003
30,,15,0/40/29,31.11,13.14,1.17,2088.33,273.13,0.29,2001-2003
25,,10,0/40/0,31.16,12.61,1.26,2089.33,275.8,0.27,2001-2003
20,,20,0/20/20,31.17,13.24,1.08,2087.0,273.77,0.2,2001-2003
25,,15,0/10/10,31.22,12.27,1.22,2083.33,275.53,0.19,2001-2003
25,,20,0/25/25,31.28,13.91,0.98,2090.67,272.17,0.54,2001-2003
30,,20,0/20/20,31.35,13.83,1.04,2084.67,271.5,0.35,2001-2003
20,,20,0/35/24,31.42,12.47,1.27,2088.0,276.03,0.27,2001-2003
25,,10,0/40/39,31.49,12.53,1.26,2090.0,276.87,0.11,2001-2003
20,,20,0/25/25,31.71,13.89,1.07,2085.67,273.73,0.31,2001-2003
20,,15,0/35/0,31.72,12.71,1.3,2086.67,277.57,0.28,2001-2003
30,,20,0/15/30,31.83,13.46,1.08,2084.67,273.6,0.35,2001-2003
20,,15,0/35/29,31.9,12.32,1.36,2084.67,278.6,0.33,2001-2003
30,,20,0/35/35,31.92,14.35,1.06,2087.33,273.03,0.53,2001-2003
30,,20,0/10/0,32.23,13.44,1.12,2090.0,275.9,0.24,2001-2003
30,,15,0/10/20,32.31,13.78,1.16,2088.67,275.67,0.21,2001-2003
30,,15,0/5/10,32.57,14.06,1.18,2086.67,275.93,0.31,2001-2003
15,,20,0/30/0,32.6,13.65,1.12,2084.67,278.7,0.45,2001-2003
15,,20,0/30/19,32.61,13.16,1.14,2083.33,279.5,0.3,2001-2003
25,,15,0/5/10,32.61,13.47,1.27,2082.33,278.37,0.3,2001-2003
20,,15,0/5/0,32.74,12.95,1.36,2085.67,280.1,0.29,2001-2003
25,,20,0/23/23,32.79,14.52,1.03,2089.67,276.23,0.61,2001-2003
30,,20,0/5/0,32.79,14.17,1.15,2088.33,276.33,0.17,2001-2003
20,,20,0/10/20,33.0,13.75,1.28,2086.0,279.17,0.16,2001-2003
30,,20,0/0/0,33.03,15.1,1.14,2091.0,275.73,0.41,2001-2003
25,,15,0/40/40,33.05,14.52,1.27,2091.0,278.17,0.51,2001-2003
20,,20,0/30/30,33.06,14.18,1.15,2087.67,278.37,0.15,2001-2003
20,,20,0/15/15,33.12,13.63,1.23,2086.0,279.97,0.27,2001-2003
30,,20,0/5/5,33.31,14.69,1.16,2087.67,276.53,0.33,2001-2003
30,,20,0/15/15,33.38,15.07,1.1,2082.67,275.73,0.16,2001-2003
15,,20,0/10/0,33.5,13.88,1.17,2084.0,281.07,0.39,2001-2003
20,,15,0/5/10,33.51,13.56,1.39,2087.33,282.23,0.18,2001-2003
20,,15,0/35/35,33.51,13.82,1.41,2087.33,281.67,0.64,2001-2003
30,,20,0/10/10,33.77,14.98,1.14,2086.67,277.63,0.3,2001-2003
25,,15,0/5/5,33.92,14.36,1.28,2081.67,280.9,0.35,2001-2003
30,,20,0/40/40,34.01,15.89,1.14,2088.33,277.57,0.13,2001-2003
25,,20,0/20/20,34.03,14.99,1.14,2087.67,279.37,0.25,2001-2003
25,,20,0/30/30,34.08,15.47,1.1,2082.67,278.87,0.35,2001-2003
20,,15,0/5/5,34.24,14.04,1.44,2085.33,283.97,0.28,2001-2003
25,,20,0/40/29,34.24,15.04,1.3,2085.67,280.2,0.44,2001-2003
15,,20,0/30/30,34.48,14.72,1.33,2082.67,283.1,0.28,2001-2003
25,,20,0/35/35,34.67,15.9,1.21,2083.67,280.0,0.24,2001-2003
15,,20,0/10/20,34.71,14.8,1.25,2088.33,283.87,0.33,2001-2003
25,,20,0/15/15,34.77,15.41,1.27,2086.0,280.93,0.3,2001-2003
