t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,0,4,3
120,0,0,3,6,0,0,4,3
180,0,0,2,5,0,0,1,2
240,1,0,2,6,11,2,0,0
300,5,0,0,5,9,2,0,0
360,10,4,1,4,3,1,5,1
420,15,2,1,2,2,0,5,1
480,14,5,0,0,0,0,8,5
540,13,5,0,1,7,0,7,3
600,9,2,0,0,10,0,5,2
660,12,0,0,1,14,0,3,2
720,7,0,5,5,9,1,1,1
780,10,0,3,5,12,3,0,0
840,11,0,3,4,2,1,8,3
900,11,0,1,3,0,0,10,4
960,16,3,0,0,3,0,11,3
1020,11,1,0,0,12,0,6,3
1080,5,0,5,7,13,0,4,0
1140,12,0,3,4,11,3,0,0
1200,9,0,3,3,4,1,5,0
1260,10,0,1,2,1,0,10,4
1320,17,2,0,0,3,0,10,3
1380,14,2,0,0,11,0,7,2
1440,2,0,2,4,11,0,6,1
1500,8,0,4,6,13,4,2,0
1560,9,0,4,5,12,2,0,0
1620,14,0,2,2,2,0,8,3
1680,16,1,1,0,0,0,10,4
1740,13,1,0,1,9,0,6,3
1800,5,1,0,0,10,0,5,2
1860,10,0,6,5,13,7,1,0
1920,17,7,5,3,7,6,0,0
1980,9,9,10,2,0,8,4,14
2040,18,20,5,0,3,19,2,11
2100,22,22,0,0,7,26,0,16
2160,16,10,0,0,2,26,3,17
2220,12,10,6,4,17,27,0,6
2280,11,12,6,3,0,15,6,34
2340,22,17,2,0,14,46,1,7
2400,20,17,0,0,3,5,4,38
2460,9,13,2,0,25,37,1,4
2520,18,9,2,0,0,16,5,41
2580,20,18,8,4,21,50,0,2
2640,19,9,8,0,6,17,0,30
2700,24,21,7,3,3,39,1,5
2760,19,8,12,3,5,33,0,17
2820,33,20,6,1,2,34,0,7
2880,16,25,5,1,2,32,1,19
2940,21,19,2,0,0,42,2,11
3000,14,29,0,0,15,30,1,2
3060,30,17,0,0,5,23,0,14
3120,19,17,4,0,0,28,3,17
3180,24,6,4,0,5,37,0,6
3240,29,11,6,2,3,33,0,3
3300,30,16,2,1,1,28,0,0
3360,10,27,3,0,2,21,0,3
3420,28,19,0,0,0,29,0,4
3480,19,21,4,0,0,27,3,9
3540,32,6,0,0,0,41,0,3
3600,27,4,2,0,5,34,0,0
3660,17,25,6,1,0,14,2,5
3720,8,13,2,0,0,35,0,3
3780,10,22,0,0,0,18,0,0
3840,16,18,0,0,0,18,0,0
3900,2,12,0,0,0,7,0,0
3960,11,1,0,0,0,15,0,0
4020,10,14,0,0,0,9,0,0
4080,13,25,0,0,0,11,0,0
4140,0,21,0,0,1,17,0,0
4200,2,13,0,0,0,11,0,0
4260,13,6,0,0,0,16,0,0
4320,0,20,0,0,0,10,0,0
4380,0,4,0,0,0,13,0,0
4440,0,0,0,0,0,6,0,0
4500,0,0,0,0,0,1,0,0
4560,0,0,0,0,0,1,0,0
4620,0,1,0,0,0,0,0,0
4680,0,1,0,0,0,0,0,0
4740,0,0,0,0,0,2,0,0
4800,0,0,0,0,0,1,0,0
4860,0,0,0,0,0,1,0,0
4920,0,2,0,0,0,0,0,0
4980,0,0,0,0,0,4,0,0
5040,0,0,0,0,0,0,0,0
5100,0,0,0,0,0,0,0,0
5160,0,0,0,0,0,0,0,0
5220,0,2,0,0,0,0,0,0
5280,0,0,0,0,0,4,0,0
5340,0,0,0,0,0,0,0,0
5400,0,0,0,0,0,0,0,0
