modo,episodio,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,recompensa,cambios_fase
train,101,0.05,1884,14.02,25.58,6.85,-4255.3,237
train,102,0.05,1884,14.03,25.46,6.83,-4267.9,233
train,103,0.05,1884,14.65,26.43,7.13,-4442.0,241
train,104,0.05,1884,15.13,27.0,7.35,-4597.0,245
train,105,0.05,1884,15.49,27.42,7.54,-4718.4,237
train,106,0.05,1884,14.21,25.72,6.92,-4301.1,229
train,107,0.05,1884,15.44,27.3,7.51,-4712.6,241
train,108,0.05,1884,14.57,26.21,7.13,-4423.2,233
train,109,0.05,1884,14.76,26.31,7.13,-4542.5,227
train,110,0.05,1884,14.1,25.45,6.83,-4368.3,224
train,111,0.05,1884,14.16,25.64,6.89,-4278.5,236
train,112,0.05,1884,15.57,27.74,7.61,-4729.3,241
train,113,0.05,1884,14.4,25.85,6.9,-4398.7,221
train,114,0.05,1884,15.46,27.46,7.48,-4675.9,233
train,115,0.05,1884,14.4,25.99,7.06,-4349.4,237
train,116,0.05,1884,14.12,25.6,6.87,-4278.5,237
train,117,0.05,1884,15.25,27.24,7.44,-4578.1,245
train,118,0.05,1884,14.74,26.53,7.19,-4451.7,237
train,119,0.05,1884,15.8,28.1,7.73,-4770.1,249
train,120,0.05,1884,14.81,26.53,7.19,-4413.7,238
demo,0,0,1884,18.03,31.46,8.8,-5323.1,285
demo,0,0,1884,17.83,30.99,8.79,-5303.9,277
demo,0,0,1884,17.11,30.15,8.46,-5058.6,281
